t,C,sigma,norm
0,0.0,0.0,1.0000000000005
1,0.0,0.0,0.9636681223330986
2,0.0,0.0,0.929303868753952
3,0.0,0.0,0.8967882054745728
4,0.0,0.0,0.8660096737025957
5,0.0,0.0,0.8368638947098186
6,0.0,0.0,0.8092531077005071
7,0.0,0.0,0.7830857382799473
8,0.0,0.0,0.7582759954735948
9,0.0,0.0,0.7347434953870529
10,0.0,0.0,0.7124129097272389
11,0.0,0.0,0.6912136375261306
12,0.0,0.0,0.6710794985210587
13,0.0,0.0,0.6519484467502255
14,0.0,0.0,0.6337623030195205
15,0.0,0.0,0.6164665049872998
16,0.0,0.0,0.6000098736980911
17,0.0,0.0,0.5843443954746088
18,0.0,0.0,0.5694250181504621
19,0.0,0.0,0.5552094606938893
20,0.0,0.0,0.5416580353361335
21,0.0,0.0,0.5287334813770157
22,0.0,0.0,0.5164008098951831
23,1.7046222864414654e-42,0.0,0.5046271586417121
24,4.1000711462681185e-41,0.0,0.4933816564434799
25,5.1279069956451e-40,0.0,0.48263529648725045
26,4.440024913087289e-39,0.0,0.47236081789697476
27,2.9901740933514187e-38,0.0,0.4625325950555894
28,1.6686250637075443e-37,0.0,0.453126534158812
29,8.02774771035172e-37,0.0,0.4441199765222585
30,3.4210623430740695e-36,0.0,0.4354916081948016
31,1.3169525108503678e-35,0.0,0.4272213754606163
32,4.6477421819617515e-35,0.0,0.4192904058399472
33,1.5211699478294476e-34,0.0,0.41168093422442664
34,4.659833387964844e-34,0.0,0.4043762338068701
35,1.3460864907446324e-33,0.0,0.39736055148801536
36,3.689602937780476e-33,0.0,0.390619047463733
37,9.646124990473424e-33,0.0,0.3841377387159231
38,2.4161021793269832e-32,0.0,0.37790344614872
39,5.819923989264211e-32,0.0,0.37190374512882307
40,1.352659273498936e-31,0.0,0.366126919204849
41,3.042120609909772e-31,0.0,0.36056191679561295
42,6.637097537990622e-31,0.0,0.3551983106512829
43,1.407874253641277e-30,0.0,0.350026259904452
44,2.9093522438621926e-30,0.0,0.3450364745404136
45,5.867416053591689e-30,0.0,0.34022018212735106
46,1.1566670147827984e-29,0.0,0.33556909665782236
47,2.2320579606796967e-29,0.0,0.33107538936287734
48,4.221860432089918e-29,0.0,0.32673166136943443
49,7.83641624728139e-29,0.0,0.3225309180802162
50,1.4289427835804216e-28,0.0,0.3184665451636311
51,2.5622664682932557e-28,0.0,0.31453228604852773
52,4.522084713687497e-28,0.0,0.31072222082579065
53,7.861750107362185e-28,0.0,0.30703074646529843
54,1.3474071449433636e-27,0.0,0.3034525582628889
55,2.2781647136062916e-27,0.0,0.299982632437674
56,3.802444423894494e-27,0.0,0.2966162098053644
57,6.2689727221090816e-27,0.0,0.29334878045822005
58,1.0214834289377566e-26,0.0,0.29017606938685825
59,1.645873874446557e-26,0.0,0.2870940229834632
60,2.623648063943951e-26,0.0,0.284098796369944
61,4.139596069522896e-26,0.0,0.281186741498338
62,6.467560840391625e-26,0.0,0.27835439597423645
63,1.0009868815462237e-25,0.0,0.27559847255726133
