t,C,sigma,norm
0,0.0,1.0,1.0000000000005
1,0.9998067497127021,1.0,0.9168870963074623
2,0.9995384726442218,1.0,0.8459350076374555
3,0.9991352590314149,1.0,0.7852455345844611
4,0.9985860813185939,1.0,0.7331792338103871
5,0.9978844436532875,1.0,0.6883300717486608
6,0.9970289627485515,1.0,0.6495017009162443
7,0.9960236235129819,1.0,0.6156845909565881
8,0.9948776850979246,1.0,0.5860337843087705
9,0.9936052503616886,1.0,0.5598474321220686
10,0.992224546246384,1.0,0.5365464633830513
11,0.9907569889758916,1.0,0.5156557716839895
12,0.9892261230015341,1.0,0.49678722452801133
13,0.9876565253103998,1.0,0.47962466915922003
14,0.9860727583852651,1.0,0.4639109732654408
15,0.9844984387005101,1.0,0.449437026266545
16,0.9829554668366464,1.0,0.436032548265549
17,0.9814634436782543,1.0,0.4235585088307327
18,0.9800392775905951,1.0,0.4119009405342902
19,0.9786969717918764,1.0,0.4009659347371239
20,0.977447570155753,1.0,0.3906756221228816
21,0.9762992333419577,1.0,0.38096496208752695
22,0.9752574148331492,1.0,0.37177918911401614
23,0.9743251072279588,1.0,0.36307178801995993
24,0.9735031320119282,1.0,0.35480289191598463
25,0.972790450097804,1.0,0.3469380161100799
26,0.9721844749659466,1.0,0.3394470578117254
27,0.9716813747158912,1.0,0.33230350540919423
28,0.9712763534206027,1.0,0.3254838125568257
29,0.9709639056709048,1.0,0.3189669016282817
30,0.9707380410409687,1.0,0.3127337685921966
31,0.970592477408158,1.0,0.30676716735570314
32,0.970520803681396,1.0,0.3010513563737496
33,0.9705166136152651,1.0,0.2955718940744155
34,0.9705736131033346,1.0,0.2903154726011198
35,0.9706857037416609,1.0,0.28526978168539424
36,0.9708470456108674,1.0,0.28042339627186186
37,0.9710521022096593,1.0,0.2757656829273644
38,0.971295670338779,1.0,0.2712867211643778
39,0.9715728975252782,1.0,0.2669772366628207
40,0.9718792893253672,1.0,0.262828544037701
41,0.9722107085741966,1.0,0.2588324973148966
42,0.9725633683798566,1.0,0.2549814466767596
43,0.9729338203983172,1.0,0.2512682003489808
44,0.9733189396833589,1.0,0.2476859907403776
45,0.9737159071849795,1.0,0.24422844413364073
46,0.9741221907732937,1.0,0.24088955336975953
47,0.9745355254927873,1.0,0.2376636530812816
48,0.974953893603267,1.0,0.23454539711706707
49,0.9753755048373544,1.0,0.23152973786942949
50,0.975798777198114,1.0,0.22861190726788977
51,0.9762223185322224,1.0,0.22578739924559196
52,0.9766449090418465,1.0,0.22305195351734508
53,0.9770654848400592,1.0,0.2204015405342794
54,0.9774831226081344,1.0,0.217832347500795
55,0.9778970253767317,1.0,0.21534076535602142
56,0.9783065094250447,1.0,0.21292337663533745
57,0.9787109922711223,1.0,0.21057694413831582
58,0.9791099817114468,1.0,0.2082984003383165
59,0.9795030658573486,1.0,0.20608483747627407
60,0.9798899041091491,1.0,0.20393349828733162
61,0.9802702190050785,1.0,0.20184176731412815
62,0.9806437888805223,1.0,0.19980716276492846
63,0.9810104412733692,1.0,0.1978273288785598
64,0.9813700470127282,1.0,0.19590002876139453
65,0.9817225149307263,1.0,0.1940231376644922
66,0.9820677871401571,1.0,0.19219463667155043
67,0.982405834824224,1.0,0.19041260677057992
68,0.9827366544883053,1.0,0.18867522328424408
69,0.9830602646274526,1.0,0.1869807506356399
70,0.9833767027670819,1.0,0.18532753742795585
71,0.9836860228379765,1.0,0.18371401181796193
72,0.9839882928502272,1.0,0.1821386771646732
73,0.9842835928340644,1.0,0.18060010793580317
74,0.9845720130186273,1.0,0.1790969458558006
75,0.9848536522226242,1.0,0.17762789628034503
76,0.9851286164334865,1.0,0.17619172478318298
77,0.985397017554067,1.0,0.17478725394211606
78,0.9856589722981551,1.0,0.1734133603118162
79,0.9859146012180893,1.0,0.17206897157194712
80,0.9861640278495865,1.0,0.17075306383981612
81,0.9864073779605337,1.0,0.1694646591374782
82,0.9866447788919714,1.0,0.16820282300385964
83,0.9868763589808014,1.0,0.16696666224307422
84,0.9871022470549522,1.0,0.16575532280066765
85,0.9873225719927617,1.0,0.1645679877600519
86,0.9875374623392794,1.0,0.16340387545188126
87,0.9877470459730341,1.0,0.1622622376695802
