t,C,sigma,norm
0,0.0,0.5045921867396499,1.0000000000005
1,0.9998164176262312,0.4880626765213436,0.9397397579333767
2,0.9995795625600944,0.7904769187796501,0.8856283927906001
3,0.9990657514780403,1.0,0.8251775239646137
4,0.9982948338976715,1.0,0.7656124408462067
5,0.9973846840224382,1.0,0.7145958150047467
6,0.9963106244098187,0.9360563729256621,0.6707324175188585
7,0.9951500946900712,0.9606997510795859,0.6338486304127365
8,0.993794631818653,0.9346193668995365,0.6012121352741481
9,0.9923353069728555,0.9185637741216603,0.572804058949575
10,0.9907770570713993,1.0,0.5477359124891439
11,0.9889474621311218,1.0,0.5247644359784556
12,0.9870343413425479,1.0,0.5042495053749153
13,0.9850667063803323,0.9953674728564963,0.48578746256105876
14,0.9830851743093777,0.9763852211478794,0.46906527193361824
15,0.9811529522477617,0.800421033879968,0.45384492797795273
16,0.9796732942286669,0.5939760567625243,0.44022149401230154
17,0.9787185823184399,0.6458835553340885,0.4278861565497439
18,0.9776480678993114,0.41263317277374034,0.4161674419233824
19,0.9771878770922272,0.41119134745632374,0.4054419627496143
20,0.9767414008097195,0.3759118722479375,0.3952550524875733
21,0.9763999503631664,0.18560477878997964,0.3856115656309487
22,0.9765718137484728,0.31901956609712107,0.37663651221172084
23,0.9763866392539315,0.4194055752338866,0.36793276038184514
24,0.9759377219480989,0.3128860236251217,0.3595370889641674
25,0.9758099514500876,0.3865377444842321,0.35162670197737755
26,0.9754900164009959,0.48744308624873156,0.34401380529088704
27,0.9749097532450373,0.5036434781918345,0.33667291124531296
28,0.974327246299881,0.49895453703566767,0.3296593462672358
29,0.9738062180201861,0.5130263988514436,0.32296732770636727
30,0.9732941421879636,0.5679397970945049,0.31656655131041345
31,0.9726815858422316,0.502855356535429,0.31042210131361875
32,0.9723119581791393,0.5280345650351304,0.30457470957700744
33,0.971923187665848,0.5352287632841938,0.2989658326005535
34,0.9715692960428903,0.36692480848434617,0.2935899210694341
35,0.9717098972927514,0.3434872882052371,0.28848809023309213
36,0.9719276144145232,0.40008462245084536,0.2835944534518521
37,0.9720111143013871,0.5270998653455665,0.2788753468059949
38,0.9717915901813712,0.520623209434438,0.2743062747524041
39,0.9716381505747266,0.20208016764462267,0.2699163308742388
40,0.9723128672487293,0.24666087573777373,0.2657617561202713
41,0.972860798479617,0.0,0.2617492852219223
42,0.9739962899714166,0.0,0.25793194633260524
43,0.9750897958835899,0.03909846202801316,0.2542511411641502
44,0.9760462412733047,0.13047780510032359,0.25069181436711996
45,0.9767408658883658,0.04369648794316636,0.24723642803532594
46,0.9776272499694222,0.06279860034915108,0.24391678487091692
47,0.9784326742403192,0.0,0.24070491591038032
48,0.9793628339811372,0.030666397810979483,0.23761270724838568
49,0.9801799209638249,0.0,0.2346155543747723
50,0.9810403566775746,0.17246137197058212,0.23172163727992423
51,0.9814389435366814,0.23748565129088484,0.22888350374868094
52,0.9816678626908767,0.21285955748346358,0.2261210139398004
53,0.9819593969405735,0.2327438190138024,0.2234490783524084
54,0.9822002216311704,0.25080421676500214,0.2208549552685697
55,0.9823983459915959,0.21008857081115945,0.21833577416424113
56,0.9826967830848181,0.10073068989456058,0.215898667023526
57,0.9832473145742203,0.24120334850490746,0.2135512744560749
58,0.9834499412294402,0.05871779741476951,0.21124778523031318
59,0.9840734656761273,0.08772157701995839,0.20903929193602297
60,0.9846045763679023,0.0,0.20688777306164638
61,0.9853111168857109,0.0,0.20480947031671484
62,0.9859848222877529,0.0,0.20278779748831688
63,0.9866271713916043,0.0,0.20082038771363114
64,0.9872395846836208,0.0,0.19890499679961457
65,0.9878234255252428,0.05259158752507725,0.19703949600317683
66,0.9882673055193667,0.17279766363747334,0.19521316262293353
67,0.9884355341426703,0.21839121747489745,0.19341323384313855
68,0.9885055375039393,0.12799954943365388,0.19165107193211559
69,0.9887709893427756,0.11039360933758871,0.18994620372137888
70,0.9890650342302881,0.0,0.18828511406065604
71,0.9895734060904159,0.0,0.18667976488788035
72,0.9900571198412144,0.0,0.1851122276893082
73,0.9905173990223727,0.0733561132816679,0.1835810747777514
74,0.9908122566899675,0.1104703154350202,0.18207403155999802
75,0.9910235949430342,0.1994930288590021,0.18059540502030297
76,0.991056530984314,0.14313632744099297,0.17913688759466445
77,0.9912022451034245,0.21514882201541638,0.17771841438718713
78,0.991208754937642,0.00886909105206185,0.17632101377202236
79,0.991606098755968,0.1421454301491743,0.1749805243956161
80,0.99173982851089,0.11885852698369195,0.173650902144654
81,0.9919137213476498,0.0,0.17235184529985897
82,0.9922949175678711,0.0,0.17109418459618417
83,0.9926568542747127,0.20389825480453994,0.16986197136732523
84,0.9926451290481224,0.22741580141171155,0.16862884176383636
85,0.9925976336813405,0.20977989398702798,0.1674175387712809
86,0.992588481237266,0.14620070918738978,0.16623226603881536
87,0.9926940330145796,0.4359049372837759,0.16507708797658313
88,0.9922978290354949,0.21731562297285398,0.16391284011992893
89,0.9923061813685278,0.17346278345920035,0.162794328075114
90,0.9923929105273996,0.04633644819216576,0.16170093413369951
91,0.9926886811590592,0.06452498549439448,0.16063957039785726
92,0.992940528740557,0.03501374760641307,0.15959556890134333
93,0.9932276853548702,0.0,0.15857288366338615
94,0.993555265942115,0.07573479946650465,0.15757148451605488
95,0.9937485324838291,0.18811972087896744,0.15658027976450095
96,0.9937599653371072,0.19415739643413743,0.15559544066676437
97,0.9937650175720308,0.0,0.15462689197909738
98,0.9940671058473841,0.27850446403658097,0.15369195422482412
99,0.9939356462833443,0.3159487162137155,0.15274774806232919
100,0.9937574821515543,0.3408442069281207,0.1518164611338469
101,0.9935545526731828,0.21621670085705516,0.1508990566635466
102,0.9935546795946307,0.03499860912593333,0.1500065351741987
103,0.9938242347514238,0.17851706046866672,0.1491416540719394
104,0.9938725015541751,0.09886567079917061,0.14827965122729173
105,0.9940356487824633,0.09857819778738101,0.14743678840719351
106,0.994192204207617,0.041888175201273505,0.14660679528814055
107,0.9944209807393212,0.11958161867938574,0.14579338375967443
108,0.9945312935763211,0.20663678364420682,0.14498655690663967
109,0.9945178972936124,0.17049800749386798,0.14418551149137201
110,0.9945576194818264,0.054962266557890285,0.14339879080362486
111,0.9947533481175422,0.099652514447411,0.1426312680777437
112,0.9948802758778871,0.09424966434348571,0.1418717226146267
113,0.9950091160732534,0.11436965764636423,0.14112328102531413
114,0.9951064396516358,0.2661633141859452,0.14038398348236472
115,0.9950024450108024,0.054058015150711236,0.13964508395555983
116,0.9951806949492226,0.0719678917795544,0.13892994324576716
117,0.9953275608626664,0.0,0.13822340770519576
118,0.9955567898625844,0.1334388717391149,0.13753092347764834
119,0.9956099004812325,0.0,0.1368392683812813
120,0.9958240736167032,0.08171655633504678,0.1361651123646141
121,0.9959292328446622,0.14946540799797028,0.1354946661195697
122,0.9959492612893983,0.15100427300062852,0.13482865336375807
123,0.9959680291049569,0.2823118953233434,0.13417113192092595
124,0.995830041103523,0.24710802236042775,0.13351420280069234
125,0.9957426175284643,0.27836450302092547,0.13286796422111088
126,0.9956234816342394,0.23313929773924275,0.1322283408177785
127,0.9955665300765795,0.337725279934581,0.13159933016467382
128,0.9953882039199781,0.26794163295086393,0.13097291735884842
129,0.9953051385489701,0.2361717904698115,0.13035796376641598
130,0.9952665322292683,0.11917647489305883,0.12975210794030384
131,0.9953698442471518,0.22210130468523415,0.12915892357578376
132,0.9953486357449493,0.13677285942048556,0.12856811524970851
133,0.9954295559079659,0.10210535323067815,0.12798808608114987
134,0.9955469331459949,0.1046152933816698,0.12741633408698744
135,0.9956559744722789,0.18210746147662604,0.12685107640397725
136,0.9956729352526287,0.24491259842628793,0.1262889160342721
137,0.9956196477665082,0.0,0.12573050347445586
138,0.9958427005849356,0.0,0.12518868255962118
139,0.9960527400667257,0.015976275393539803,0.12465303166480396
140,0.9962337147074496,0.0,0.12412272402532279
141,0.9964212646586484,0.048233710168430935,0.12359901235885552
142,0.9965484798492946,0.10530509236956172,0.12307893925751522
143,0.9966107049540539,0.03611743209644394,0.12256195797949249
144,0.9967409365355461,0.08801875436100942,0.12205357405026442
145,0.9968124721642732,0.0,0.12154830693520344
146,0.9969681000846311,0.0,0.12105227253975019
147,0.9971150511066917,0.14300284697771593,0.12056149168584135
148,0.9971164229006899,0.12239955645541473,0.12006938469697319
149,0.9971385543386886,0.03866561651763796,0.11958328703535998
150,0.9972403963485462,0.20285117533458946,0.11910584450343652
151,0.9971811472382978,0.1409787877152509,0.11862605876074056
152,0.9971847529386001,0.12201669381490943,0.11815384816292059
153,0.9972070329166913,0.2440461592949723,0.1176871770898112
154,0.997112171826059,0.14362951143929492,0.11722012796786838
155,0.9971187646641221,0.04282404821096461,0.116761854623522
156,0.9972208335855136,0.1473447563286845,0.11631206200378241
157,0.9972204220868827,0.22854094760268112,0.11586251917866663
158,0.9971440307424765,0.24922419627774922,0.11541420539395075
159,0.9970518390804399,0.012779358306698213,0.1149695568071021
160,0.9971873061557375,0.0,0.11453789045609906
161,0.9973267505839389,0.0,0.11411083347860948
162,0.997458212843062,0.0,0.11368784847920499
163,0.9975822168418604,0.04930422374122838,0.11326886277702675
164,0.9976566553809946,0.0,0.11285190626182114
165,0.9977696490692151,0.055228905491731185,0.11244068997170169
166,0.9978300354590331,0.0,0.11203111858624701
167,0.9979335643908356,0.0,0.11162741135438438
168,0.9980314072795848,0.0,0.11122737662082151
169,0.9981239205974165,0.0,0.11083095322123862
170,0.9982114353471785,0.0,0.11043808170026315
171,0.9982942591161734,0.10585832597334378,0.11004870423098367
172,0.9982920422412777,0.10726199322243071,0.10965848710564315
173,0.9982891732040101,0.0,0.1092716303798851
174,0.9983684819885318,0.0,0.10889235200613578
175,0.9984435547141783,0.11272030531945679,0.10851635927397522
176,0.998431869308846,0.16110077639706571,0.1081391178005949
177,0.9983844456666109,0.19502221878526182,0.10776322753629182
178,0.9983125923133165,0.15333242178525852,0.1073893140581024
179,0.9982754729715089,0.22191159199248894,0.1070201961763723
180,0.9981859583629278,0.1894476402287505,0.10665176568523865
181,0.9981252800207223,0.07396893024270428,0.10628767435891731
182,0.9981589297062576,0.0,0.10593057571408067
183,0.9982483015535512,0.0,0.10557891468136257
184,0.9983326057163159,0.04992612537121408,0.10523015384173558
185,0.9983752164375908,0.05012936686622271,0.1048825209318704
186,0.9984157971031616,0.12291307593687573,0.10453768118062597
187,0.998400940403835,0.0,0.10419310574870108
188,0.9984771748742701,0.0,0.10385545576474826
189,0.9985491648118751,0.0,0.10352050312678965
190,0.9986171831133959,0.0,0.10318820813045393
191,0.9986814825244744,0.011643283080452012,0.10285853209827242
192,0.9987345207117311,0.0,0.10253102924732814
193,0.9987925117392634,0.0,0.10220647661760258
194,0.9988474081898416,0.13472148376578458,0.10188443297184896
195,0.998812558020371,0.34050104401615944,0.10156010238767865
196,0.9986367033452512,0.33139539962244663,0.10123129139241645
197,0.9984659955658045,0.23408661350996923,0.10090579747904978
198,0.9983701816863156,0.1534473411102013,0.10058612299051155
199,0.9983381057482634,0.18765518137107126,0.10027135845656082
200,0.9982816684222833,0.06443702175329927,0.09995798989151117
201,0.9983204873370389,0.18542980997593306,0.09965048336523287
202,0.9982670479484129,0.2134074816679979,0.09934183951621793
203,0.9981943525961581,0.3576823302294706,0.09903475741174893
204,0.9980103810360273,0.3826939490080465,0.09872621905736086
205,0.9978101508805739,0.44704251601828054,0.09841966826687745
206,0.9975610196001937,0.6128832577386145,0.098114229112328
