step,eta,mse,coherence,S,r_norm
0,0.897574559761422,4.510790058256004e-06,0.13630034029678098,3.2952733610835967,0.12650739792010723
1,0.7623748303406885,7.815690044397937e-09,0.1329833532433372,3.2942765621136494,0.12598342480500818
2,0.7576603630151839,5.949929640007488e-09,0.13232348816624256,3.2970775060530557,0.12598230767981913
3,0.7527933722587379,4.325997849470125e-09,0.13251844449731529,3.2974867616551933,0.12595542870291754
4,0.7432440297049386,2.83744256128196e-09,0.13208683419308392,3.2983763066874277,0.12580905861814165
5,0.7339987880470592,2.0789490802244015e-09,0.13149871203749872,3.2952575174690732,0.1259150412467764
6,0.726774655429468,1.7077012054032196e-09,0.13098468246630973,3.294464399838154,0.12582866428444814
7,0.7216090787428968,1.5233121089859298e-09,0.13067628434231476,3.2928073644989198,0.12567432377763568
8,0.7180785192780484,1.4312306746868932e-09,0.13045733390640313,3.2908755508627414,0.12564429134833768
9,0.7157057184974508,1.3846308714316525e-09,0.13035460436717855,3.290565043018689,0.12560127682020442
10,0.7140954100015185,1.360731095568499e-09,0.13021053612801875,3.2905251390072356,0.12558705584962498
11,0.7129784708031707,1.3479530260874325e-09,0.1301711708534637,3.2911131382616814,0.12555132156239782
12,0.7121766514541689,1.3408464654973893e-09,0.1301709053966719,3.29147884803585,0.12553680337998563
13,0.7115844047505805,1.3368059796720795e-09,0.13021143025616344,3.2917773601631692,0.12557647885809728
14,0.7111360292358716,1.3344929781132633e-09,0.13025630038960512,3.2921669786367858,0.12556973228815643
15,0.7107887037051137,1.3332296334122875e-09,0.13027784024101774,3.291964893427915,0.12552313234515186
16,0.7105155131237332,1.332555746106004e-09,0.13029417116469566,3.29230053188633,0.12548523946233642
17,0.7102991910595482,1.3323010676925227e-09,0.13033188714452473,3.292348853743106,0.1255020952214654
18,0.7101238650399981,1.3322930853295458e-09,0.1303548041083712,3.2926274150967085,0.12549451426757116
19,0.7099788153283126,1.3324037445572569e-09,0.13035438090738855,3.292435340811436,0.1255192567053798
20,0.7098631382694264,1.3325561979095113e-09,0.13037209229685803,3.292313215155394,0.1255404358585913
21,0.7097674938049727,1.3327180605197661e-09,0.1304105775726523,3.292245143758901,0.12555133654219816
22,0.7096882440456058,1.3329012345931707e-09,0.13043391937301313,3.292138947265964,0.12555860376904313
23,0.7096195823372424,1.333093385895371e-09,0.1304599981101967,3.2918999714089563,0.12556045554924347
24,0.7095623246383649,1.3333339458906701e-09,0.13049418332533394,3.2919109380316827,0.1255575066326469
25,0.7095142904964719,1.3334946029509159e-09,0.13049187971435483,3.291721753857659,0.12555996564297645
26,0.7094734503652492,1.333623254663042e-09,0.13052044860444353,3.2920523191702853,0.1255638540132218
27,0.7094385598195848,1.3337271321952773e-09,0.13051579135074398,3.2920735752921884,0.12556775958330382
28,0.7094077087360051,1.3338361757035519e-09,0.13048885012554579,3.2918514570317576,0.1255751035513215
29,0.7093817667305199,1.333939123732958e-09,0.13048702287310368,3.2920093926278224,0.12557050453084473
30,0.7093603775709945,1.3340376853088728e-09,0.13045787681119092,3.292350814652779,0.12556709402065852
31,0.7093416614678072,1.3341293545363956e-09,0.1304773358091456,3.2925972681444016,0.12556710170291485
32,0.7093244979061502,1.3341889860781923e-09,0.13043839003174265,3.292643154729202,0.12554647925001888
33,0.7093103082300269,1.3342515647354104e-09,0.13046126369030991,3.292808157480107,0.12554507400630519
34,0.7092989684303875,1.3342956501231487e-09,0.13046700467565298,3.292789178088495,0.12555599044327678
35,0.7092892784665531,1.3343474845561495e-09,0.13044276803260663,3.2931101838883032,0.12555476468682358
36,0.7092801262517365,1.3343877294994755e-09,0.13045741373606118,3.293002919876078,0.12554024002448735
37,0.7092713993740427,1.3344371203848183e-09,0.13046629686769678,3.2931402858819885,0.12553779081104138
38,0.7092639074088412,1.3344459021066626e-09,0.13047767783164094,3.29325182012035,0.1255309408080365
39,0.7092580692236411,1.334470228328013e-09,0.13046762707629506,3.2930734794269547,0.12554624551140003
40,0.7092501454712311,1.334482915169213e-09,0.13046767238252327,3.293077140383806,0.12555563123597518
41,0.7092435993155639,1.3345313401946845e-09,0.13045389555006426,3.292733440084046,0.1255594736432522
42,0.7092363292601109,1.3345544578591756e-09,0.1304549779032082,3.292727151397842,0.12556454563253613
43,0.7092332839940192,1.3345759251277346e-09,0.13045420068602293,3.2926359007121526,0.12556571242035178
44,0.7092289586296334,1.3345861800686084e-09,0.13045359782689597,3.2925401546896644,0.12557328397614934
45,0.709225269508928,1.3346080977775274e-09,0.13044942322844247,3.2927381034191217,0.12556492598716787
46,0.7092225724307948,1.334615974288454e-09,0.13046909791559475,3.292887104675665,0.12557426683627737
47,0.7092171295545596,1.334654959690676e-09,0.13043633519833855,3.2927958364586116,0.12559019040543165
48,0.7092154083134397,1.3346837489193214e-09,0.13043821411291476,3.292631012430341,0.12560389432966973
49,0.7092139655780236,1.3346834936713229e-09,0.13046616170036068,3.2927496824959683,0.12558413216318207
50,0.7092103141706582,1.3346839464409437e-09,0.13045674681144825,3.2927071312337444,0.1255939860843726
51,0.7092084711057324,1.334686267948635e-09,0.13046400933447927,3.2925089836886885,0.12560789355508015
52,0.7092074910198339,1.3347193784395375e-09,0.13046839994249043,3.2924844818821026,0.12562226123126086
53,0.709207498961362,1.3347148905567615e-09,0.13044691667610184,3.292430133955837,0.1255886495891414
54,0.7092040822456173,1.3347007370803315e-09,0.1304304469874938,3.2921868670892893,0.12555837689153043
55,0.709201178760043,1.334727723166696e-09,0.1304145848907578,3.2921372605294437,0.12554213327381958
56,0.709198225558126,1.3347634106712113e-09,0.13044237841200984,3.291940368919678,0.12555641000817977
57,0.7091969140839887,1.334780361182687e-09,0.1304289908836948,3.2919279199361355,0.12555780658106863
58,0.709193536844397,1.3348225063573726e-09,0.13043121609473007,3.291960327010677,0.12555122399392277
59,0.709193250799676,1.3348240099982055e-09,0.13045495381394112,3.2921052032287257,0.12555212062201354
