step,eta,mse,coherence,S,r_norm
0,0.999998993174742,1.5157570328171057e-05,0.12982128695411188,3.2861188672756434,0.12281526980968985
1,0.999997994498372,1.5157539847236332e-05,0.12791935857515693,3.2836409903758215,0.12246819337635721
2,0.999997018415609,1.5157510059928353e-05,0.12872996220046906,3.290129307218361,0.12305638880083086
3,0.9999960341906909,1.5157480019498135e-05,0.12807810881535908,3.2894002605207886,0.12285530901750234
4,0.9999950298897808,1.5157449319689624e-05,0.12658994710144073,3.2900998244031427,0.12329569646960961
5,0.9999940436269522,1.5157419168944877e-05,0.12787948002664026,3.289782988544311,0.12316619558575996
6,0.9999930432210027,1.5157388678671207e-05,0.132104098293793,3.2856517294037006,0.12445456868326486
7,0.9999920471627198,1.5157358335074896e-05,0.13267920358334967,3.2851180725814677,0.12473813365575308
8,0.9999910737702382,1.5157328646539415e-05,0.13016617816172674,3.2850988833426804,0.12368051933005152
9,0.9999900563942614,1.5157297622207553e-05,0.12971369267539284,3.2905432386069333,0.12419292085552347
10,0.9999890800831274,1.5157267785682083e-05,0.1281130297053595,3.290573585760463,0.12349198564447796
11,0.9999880244797956,1.5157235527022367e-05,0.12706293287260534,3.28939217462867,0.12344301050875443
12,0.9999870332700594,1.5157205300254565e-05,0.12843969628716262,3.291754602338066,0.12318027349517628
13,0.9999860175760619,1.515717423271024e-05,0.12831228204632558,3.2881559864567693,0.12398924532562702
14,0.9999850673399117,1.5157145251118847e-05,0.12878948264317738,3.2879277816337282,0.12394090636952557
15,0.9999840219347492,1.515711335451711e-05,0.12712846990178084,3.291523027270692,0.12319118100569713
16,0.9999829823671099,1.5157081733425796e-05,0.12611623968170727,3.2925187821626016,0.1232815824350353
17,0.9999820353875595,1.5157052786285094e-05,0.125496034125885,3.289449282682959,0.12277372915923614
18,0.9999810622882226,1.5157023074540628e-05,0.12572238369570515,3.2890995378590175,0.12243459442102533
19,0.9999800583073041,1.5156992383134041e-05,0.12634398821464413,3.287985296158585,0.12263978163356523
20,0.9999790704404924,1.5156962179655917e-05,0.1269844883661775,3.2882639898762753,0.1227292383193313
21,0.9999780207513501,1.5156930197240725e-05,0.12680974604985007,3.2884863345957887,0.12243197007094987
22,0.9999770761323736,1.5156901238125856e-05,0.12624972875477145,3.2879290260760774,0.12250415239588981
23,0.9999761050568472,1.5156871708062418e-05,0.12593522027757614,3.287689245209391,0.12290567236817602
24,0.9999751291837228,1.5156841778525055e-05,0.12590667643361295,3.2913883385584723,0.12279312730857571
25,0.9999740972266181,1.5156810297454531e-05,0.1273304432249881,3.2933989853207697,0.122783599124077
26,0.999973127455641,1.5156780705305547e-05,0.12776225491111903,3.292267730333405,0.12247632395989361
27,0.9999720651146395,1.5156748344892917e-05,0.12810438810107405,3.292019791403723,0.1221462954858058
28,0.9999711073945898,1.5156719103577346e-05,0.1275767948075636,3.292178296172909,0.12321072359898852
29,0.9999701103157047,1.5156688653367352e-05,0.12688698704398632,3.291342994035489,0.12270360756742313
30,0.999969182849704,1.5156660389364218e-05,0.12735171907502896,3.288663552292153,0.12357006143704993
31,0.9999682315469919,1.5156631368937516e-05,0.12732892810700774,3.2908631825907033,0.12306878710451517
32,0.9999672285805652,1.5156600779379145e-05,0.12762695296904097,3.2868102092178413,0.12303289581280534
33,0.9999662475536086,1.5156570821483241e-05,0.1274236345934493,3.285557239781709,0.12326282547282442
34,0.9999652176599019,1.5156539201769741e-05,0.12665333450626812,3.2835339094760947,0.1227658081585401
35,0.9999642552965581,1.5156509761227432e-05,0.12619680997052748,3.2863711558926814,0.12300634705987609
36,0.9999632953544386,1.5156480601251082e-05,0.1266944020308455,3.286660269757599,0.1228531161183731
37,0.9999622983625482,1.5156450286794068e-05,0.12676592229795386,3.285603584008468,0.12312877346910941
38,0.9999613151173588,1.5156420250551628e-05,0.12630248780430176,3.289597581011517,0.12326360065638714
39,0.9999602377874512,1.5156387242528712e-05,0.12695791228521258,3.2878958638013485,0.12267500107462778
40,0.999959285156235,1.5156358098601296e-05,0.12748309057420332,3.284843129816301,0.12228357173487936
41,0.999958341599438,1.5156329405511989e-05,0.12732633972001564,3.286350179470124,0.1227992402472011
42,0.9999574159554339,1.5156301099502116e-05,0.1271801167332666,3.2870588973535964,0.12223790816718658
43,0.99995632952851,1.5156267924834894e-05,0.12739305574125914,3.2898610835532605,0.12275530414653524
44,0.9999553433822883,1.5156237824303857e-05,0.12775452102464127,3.2914052584044904,0.12356879630277323
45,0.999954362955903,1.5156207985582225e-05,0.1276511257139229,3.2905707743545887,0.12286950513063874
46,0.999953324615018,1.5156176277068109e-05,0.12825705601898552,3.291192280341673,0.12327335912050123
47,0.9999522573400679,1.5156143641458024e-05,0.1278227371981755,3.2908186416530474,0.12315243776096958
48,0.9999513113047518,1.5156114871805766e-05,0.1274992225488761,3.2915767719063207,0.1228517025333595
