step,eta,mse,coherence,S,r_norm
0,0.897574559761422,4.510790058256004e-06,0.13630034029678098,3.2952733610835967,0.12650739792010723
1,0.7623748303406886,7.815690044397934e-09,0.1329833532433372,3.294276562113649,0.12598342480500815
2,0.7576603630151839,5.949929640007489e-09,0.1323234881662426,3.297077506053056,0.12598230767981916
3,0.7527933722587379,4.325997849470125e-09,0.13251844449731529,3.297486761655194,0.12595542870291757
4,0.7432440297049387,2.83744256128196e-09,0.1320868341930839,3.2983763066874268,0.12580905861814162
5,0.7339987880470592,2.0789490802244023e-09,0.1314987120374987,3.2952575174690724,0.12591504124677644
6,0.7267746554294681,1.70770120540322e-09,0.13098468246630984,3.2944643998381533,0.1258286642844482
7,0.7216090787428969,1.5233121089859306e-09,0.13067628434231485,3.2928073644989206,0.12567432377763563
8,0.7180785192780487,1.4312306746868932e-09,0.13045733390640318,3.2908755508627414,0.1256442913483377
9,0.7157057184974508,1.3846308714316527e-09,0.13035460436717866,3.290565043018689,0.12560127682020444
10,0.7140954100015187,1.3607310955684978e-09,0.13021053612801886,3.290525139007235,0.125587055849625
11,0.7129784708031707,1.3479530260874321e-09,0.13017117085346375,3.2911131382616805,0.12555132156239784
12,0.7121766514541688,1.340846465497389e-09,0.13017090539667214,3.2914788480358483,0.12553680337998566
13,0.7115844047505806,1.3368059796720795e-09,0.13021143025616344,3.2917773601631692,0.12557647885809736
14,0.7111360292358716,1.3344929781132631e-09,0.13025630038960506,3.2921669786367866,0.12556973228815652
15,0.7107887037051135,1.3332296334122869e-09,0.1302778402410177,3.291964893427915,0.12552313234515192
16,0.7105155131237332,1.332555746106003e-09,0.13029417116469574,3.2923005318863305,0.1254852394623365
17,0.7102991910595482,1.3323010676925218e-09,0.13033188714452476,3.292348853743107,0.12550209522146547
18,0.7101238650399981,1.3322930853295454e-09,0.1303548041083713,3.292627415096709,0.12549451426757122
19,0.7099788153283126,1.3324037445572566e-09,0.13035438090738855,3.2924353408114357,0.12551925670537994
20,0.7098631382694265,1.3325561979095105e-09,0.13037209229685842,3.2923132151553958,0.12554043585859131
21,0.7097674938049727,1.3327180605197657e-09,0.13041057757265243,3.292245143758902,0.1255513365421982
22,0.7096882440456058,1.3329012345931699e-09,0.13043391937301324,3.2921389472659643,0.12555860376904315
23,0.7096195823372424,1.3330933858953702e-09,0.13045999811019682,3.2918999714089567,0.1255604555492435
24,0.7095623246383649,1.3333339458906693e-09,0.13049418332533405,3.291910938031683,0.12555750663264692
25,0.7095142904964719,1.3334946029509153e-09,0.13049187971435489,3.291721753857659,0.12555996564297645
26,0.7094734503652493,1.3336232546630404e-09,0.13052044860444367,3.2920523191702853,0.12556385401322184
27,0.7094385598195849,1.3337271321952765e-09,0.1305157913507441,3.2920735752921884,0.12556775958330385
28,0.7094077087360051,1.333836175703551e-09,0.1304888501255459,3.291851457031758,0.12557510355132154
29,0.7093817667305198,1.3339391237329578e-09,0.13048702287310374,3.292009392627823,0.12557050453084476
30,0.7093603775709947,1.3340376853088717e-09,0.13045787681119103,3.2923508146527793,0.12556709402065858
31,0.7093416614678072,1.3341293545363946e-09,0.13047733580914583,3.2925972681444007,0.12556710170291494
32,0.7093244979061503,1.3341889860781909e-09,0.1304383900317428,3.292643154729202,0.12554647925001894
33,0.7093103082300269,1.3342515647354094e-09,0.13046126369031003,3.2928081574801067,0.12554507400630527
34,0.7092989684303876,1.3342956501231474e-09,0.1304670046756531,3.292789178088495,0.12555599044327687
35,0.7092892784665531,1.3343474845561489e-09,0.13044276803260674,3.2931101838883032,0.12555476468682367
36,0.7092801262517365,1.3343877294994747e-09,0.1304574137360613,3.293002919876078,0.12554024002448744
37,0.7092713993740428,1.3344371203848174e-09,0.1304662968676969,3.2931402858819885,0.12553779081104147
38,0.7092639074088412,1.3344459021066615e-09,0.13047767783164108,3.2932518201203482,0.12553094080803656
39,0.7092580692236412,1.3344702283280122e-09,0.13046762707629506,3.2930734794269547,0.1255462455114001
40,0.7092501454712312,1.3344829151692118e-09,0.13046767238252327,3.293077140383808,0.1255556312359753
41,0.7092435993155641,1.3345313401946837e-09,0.13045389555006426,3.292733440084046,0.12555947364325232
42,0.7092363292601109,1.3345544578591748e-09,0.1304549779032082,3.292727151397843,0.12556454563253625
43,0.7092332839940192,1.3345759251277335e-09,0.130454200686023,3.2926359007121535,0.1255657124203518
44,0.7092289586296335,1.334586180068608e-09,0.13045359782689608,3.2925401546896653,0.12557328397614945
45,0.709225269508928,1.334608097777527e-09,0.13044942322844255,3.2927381034191225,0.12556492598716795
46,0.7092225724307948,1.3346159742884535e-09,0.1304690979155948,3.2928871046756654,0.12557426683627745
47,0.7092171295545596,1.3346549596906753e-09,0.13043633519833864,3.2927958364586116,0.12559019040543173
48,0.7092154083134397,1.3346837489193207e-09,0.1304382141129149,3.292631012430341,0.12560389432966987
49,0.7092139655780236,1.3346834936713223e-09,0.13046616170036088,3.2927496824959688,0.12558413216318218
50,0.7092103141706583,1.3346839464409431e-09,0.13045674681144837,3.2927071312337444,0.12559398608437272
51,0.7092084711057324,1.3346862679486343e-09,0.13046400933447938,3.2925089836886885,0.12560789355508023
52,0.709207491019834,1.3347193784395366e-09,0.13046839994249051,3.292484481882103,0.125622261231261
53,0.709207498961362,1.3347148905567615e-09,0.13044691667610195,3.292430133955837,0.1255886495891415
54,0.7092040822456173,1.3347007370803303e-09,0.1304304469874939,3.2921868670892893,0.12555837689153052
55,0.709201178760043,1.334727723166695e-09,0.1304145848907578,3.292137260529445,0.1255421332738196
56,0.709198225558126,1.3347634106712109e-09,0.13044237841200995,3.2919403689196782,0.12555641000817983
57,0.7091969140839887,1.3347803611826865e-09,0.13042899088369486,3.2919279199361364,0.12555780658106871
58,0.709193536844397,1.3348225063573716e-09,0.1304312160947301,3.291960327010677,0.1255512239939229
59,0.709193250799676,1.3348240099982046e-09,0.13045495381394118,3.2921052032287257,0.12555212062201362
