step,mse_R
0,0.00046196218915572023
1,0.0004881152585649248
2,0.0005223217702141026
3,0.000550441922563257
4,0.0005775861967953068
5,0.0006068177492024268
6,0.0006318826034050686
7,0.0006553619211301376
8,0.000677949202084179
9,0.0006937242217681539
10,0.0007097197504128773
11,0.0007159198129297346
12,0.0007191641409938977
13,0.0007321984745564006
14,0.0007308210377495634
15,0.0007316168948799746
16,0.0007120869750460741
17,0.0007026348425369023
18,0.0006880066784488542
19,0.0006589627794484812
20,0.0006392073164219259
21,0.0006043808231593118
22,0.0005754775115135403
23,0.0005379456302484207
24,0.0004981583224701815
25,0.0004606832420365742
26,0.0004161127621759806
27,0.0003769035415384605
28,0.00033038100696883364
29,0.00028651724507192317
30,0.00023998068024592997
31,0.00020061129956556987
32,0.0001623712414978938
33,0.0001288572695424422
34,9.888739765522218e-05
35,7.721001187268945e-05
36,6.338973981889932e-05
37,5.615921243684897e-05
38,5.231455287069149e-05
39,5.029291005744165e-05
40,4.821726111581265e-05
41,4.693333550341499e-05
42,4.6599057866223774e-05
43,4.582793692079798e-05
44,4.6425636582157156e-05
45,4.512955656729932e-05
46,4.5316643112114673e-05
47,4.597231157259048e-05
48,4.625691528811082e-05
49,4.617406213549632e-05
50,4.6498639349294076e-05
51,4.545978450525961e-05
52,4.4900399928470434e-05
53,4.461103917513839e-05
54,4.5885644204006646e-05
55,4.5388915854257965e-05
56,4.616104455547547e-05
57,4.587812655992545e-05
58,4.544436571652757e-05
59,4.5350829433266486e-05
60,4.600542468571338e-05
61,4.6587213475487334e-05
62,4.649321551731978e-05
63,4.4967856737824135e-05
64,4.470969764372577e-05
65,4.506436737181044e-05
66,4.569306186546319e-05
67,4.5435254676184805e-05
68,4.6768439197831624e-05
69,4.581299415494153e-05
70,4.610953271835202e-05
71,4.5734051756627514e-05
72,4.5724188364678345e-05
73,4.6376332215229425e-05
74,4.603474302197117e-05
75,4.541788054229672e-05
76,4.620072010680175e-05
77,4.587165201625901e-05
78,4.6441678733820454e-05
79,4.5550134399740776e-05
