step,mse_R
0,0.00046196218915572023
1,0.008374427948985453
2,0.01645601836255707
3,0.024320805343830635
4,0.0320633144667184
5,0.040133979452034056
6,0.04829272600857055
7,0.056405290070469974
8,0.06445413564593709
9,0.07287752119753271
10,0.08058221990077871
11,0.08859626012402211
12,0.09633988833610937
13,0.10451504697347297
14,0.11301594427962837
15,0.12046275669457393
16,0.1298176841942867
17,0.13714048106819726
18,0.14553403197960246
19,0.15411085832499544
20,0.16220820921647117
21,0.16996635175476868
22,0.17847936014206367
23,0.18568690216717115
24,0.19320936771120284
25,0.20146341401615908
26,0.2081182235169477
27,0.21556753889395708
28,0.2254541177511538
29,0.23394059722494298
30,0.24022692890719838
31,0.24857074277381477
32,0.25559727865939674
33,0.26248532731830704
34,0.2712626528063222
35,0.279089464063246
36,0.28567470066889816
37,0.2935190460346896
38,0.3036412451985195
39,0.31240664696181303
40,0.31870017962173197
41,0.32684869890082213
42,0.33506395336004946
43,0.3433239085944224
44,0.35094646188617334
45,0.35791612644186965
46,0.3665827438627747
47,0.3716386496058205
48,0.3787348960831165
49,0.38714480011564933
50,0.3953130491654292
51,0.4037051347797435
52,0.4123083635171982
53,0.41938807307605386
54,0.42766933087926895
55,0.4347707411725794
56,0.4405935627177172
57,0.4483812918101642
58,0.4559117934068999
59,0.464598643415638
60,0.47354053077369596
61,0.4829584945549529
62,0.49029502834706723
63,0.49817591505798986
64,0.5052030836949306
65,0.5137148084695476
66,0.5218784323296528
67,0.5273897071519376
68,0.5322927164128587
69,0.5395031537017192
70,0.544694467474055
71,0.5509964536210248
72,0.556866479419121
73,0.564793120743871
74,0.5724973629811662
75,0.5803984156291446
76,0.5863403431344937
77,0.5932231475147958
78,0.6017108136174989
79,0.6097052978975488
