step,mse_R
0,0.00046196218915572023
1,0.00048226206768925525
2,0.0005039916668007054
3,0.0005239427313568613
4,0.0005443968691924348
5,0.0005643479427191274
6,0.0005846453946872895
7,0.0006028785096556628
8,0.0006222628104421707
9,0.0006424529476860701
10,0.0006617099481529254
11,0.0006817362914801666
12,0.0007004642268350681
13,0.0007199663858199744
14,0.0007436152823985222
15,0.0007645472822640864
16,0.0007831376924983983
17,0.0008043410281719659
18,0.000820891623490504
19,0.0008407384805660542
20,0.0008575113001821767
21,0.0008763872052513743
22,0.0008979313894746373
23,0.0009153789655589007
24,0.0009397339743077086
25,0.0009601087237348276
26,0.0009842723975098775
27,0.0010039638069007295
28,0.0010221769710010713
29,0.0010444942958570986
30,0.0010633443776438363
31,0.0010885024516407358
32,0.001113756146495954
33,0.0011309271744055164
34,0.0011505041802287804
35,0.0011750675786239943
36,0.0012004490734892066
37,0.0012225305762183056
38,0.0012403884297367738
39,0.001260559170572043
40,0.0012789120364149224
41,0.0012973988564646353
42,0.0013227341894815334
43,0.0013444688844319653
44,0.0013728559634654438
45,0.0013906410607859494
46,0.0014101966542784494
47,0.001426062040203264
48,0.00144403975112519
49,0.0014629078019816357
50,0.0014840588952131323
51,0.0015009685447275245
52,0.001521057288327725
53,0.001539842545210828
54,0.0015571770239847203
55,0.0015802283638793012
56,0.0016038694065323238
57,0.0016229639434228679
58,0.001642746248483443
59,0.0016621765838494432
60,0.0016792727342917954
61,0.0017014799601155466
62,0.0017223754345118047
63,0.0017396364490571193
64,0.0017554786205303036
65,0.0017686183768103104
66,0.0017911879150014625
67,0.0018111818105186151
68,0.001835101048044832
69,0.0018572269953050378
70,0.0018706255739110388
71,0.0018862884353834288
72,0.001899533926859077
73,0.0019200346954434404
74,0.0019390875992314235
75,0.001965069660929771
76,0.001988141239410313
77,0.0020137190797140806
78,0.002034150970995882
79,0.002051397411096189
