step,mse_R
0,0.0005618336904155484
1,0.008557145430462843
2,0.016691018113587034
3,0.02463083285049874
4,0.032436601890369524
5,0.04055688578882135
6,0.04874064587183982
7,0.0569226465050993
8,0.06502569335956733
9,0.07344642338459267
10,0.08118887306318666
11,0.0892765013349726
12,0.09707353589162271
13,0.10532035420262242
14,0.11387925253613695
15,0.12142478991217429
16,0.130941405853504
17,0.1382619295711606
18,0.1467904093340444
19,0.15543082449077067
20,0.16360678769865436
21,0.17149173048553698
22,0.18017325990947763
23,0.18741311945389355
24,0.19490872347639354
25,0.20319865652796537
26,0.20990188375284227
27,0.21739160837621951
28,0.2273302963576597
29,0.23580694640156963
30,0.24219037209535638
31,0.25058277215533503
32,0.257667405451417
33,0.2645427271438383
34,0.27331023278352196
35,0.28115375653163055
36,0.28770737942569524
37,0.29559540028331105
38,0.30581960994202595
39,0.3147350786257122
40,0.3210905198432407
41,0.3293902149228574
42,0.33754908580392895
43,0.34597722949232723
44,0.35354911438824677
45,0.3604561089541719
46,0.36924012304239984
47,0.3743487053672316
48,0.38152401723844476
49,0.38985011323139696
50,0.3980304118406433
51,0.40658667048707564
52,0.4153543669562314
53,0.4224497352514717
54,0.43069954917667785
55,0.43762876695850306
56,0.44351430095641
57,0.4513393536510863
58,0.45880697909826024
59,0.467384285232398
60,0.47635284274115935
61,0.48576374534143746
62,0.49323833746120765
63,0.5011893506357165
64,0.5081809381712101
65,0.5168166390667029
66,0.5251846506566415
67,0.5307960330719755
68,0.5357062768861112
69,0.5429127414512307
70,0.5481372281000223
71,0.554375066821029
72,0.5604130457544313
73,0.568394373662758
74,0.57623109503174
75,0.584360331327811
76,0.5903434416133183
77,0.5973867077519142
78,0.6058306028713554
79,0.6139123266775468
80,0.6237154065503476
81,0.6311840908916837
82,0.6403754695185777
83,0.6485013589681803
84,0.6553622402897834
85,0.6625320752284293
86,0.6698119563918034
87,0.6769817616445715
88,0.6853496526561308
89,0.6934629953171296
