t,alpha,v,a
0,0.5,0.05,1.0
1,0.5,0.09875,0.975
2,0.5,0.14628125,0.950625
3,0.5,0.19262421875000002,0.926859375
4,0.5,0.23780861328125003,0.903687890625
5,0.5,0.2818633979492188,0.881095693359375
6,0.5,0.3248168130004883,0.8590683010253906
7,0.5,0.3666963926754761,0.8375915934997559
8,0.5,0.4075289828585892,0.816651803662262
9,0.5,0.44734075828712444,0.7962355085707054
10,0.5,0.4861572393299463,0.7763296208564378
11,0.5,0.5240033083466976,0.7569213803350269
12,0.5,0.5609032256380302,0.7379983458266512
13,0.5,0.5968806449970794,0.7195483871809849
14,0.5,0.6319586288721524,0.7015596775014603
15,0.5,0.6661596631503486,0.6840206855639238
16,0.5,0.6995056715715898,0.6669201684248257
17,0.5,0.7320180297823001,0.6502471642142051
18,0.5,0.7637175790377426,0.6339909851088499
19,0.5,0.7946246395617991,0.6181412104811287
20,0.5,0.8247590235727541,0.6026876802191005
21,0.5,0.8541400479834352,0.5876204882136229
22,0.5,0.8827865467838494,0.5729299760082824
23,0.5,0.9107168831142531,0.5586067266080753
24,0.5,0.9379489610363968,0.5446415584428734
25,0.5,0.9645002370104869,0.5310255194818017
26,0.5,0.9903877310852247,0.5177498814947565
27,0.5,1.0156280378080942,0.5048061344573876
28,0.5,1.0402373368628919,0.4921859810959529
29,0.5,1.0642314034413196,0.47988133156855406
30,0.5,1.0876256183552866,0.4678842982793402
31,0.5,1.1104349778964044,0.4561871908223567
32,0.5,1.1326741034489944,0.4447825110517978
33,0.5,1.1543572508627695,0.4336629482755028
34,0.5,1.1754983195912003,0.42282137456861524
35,0.5,1.1961108616014202,0.41225084020439984
36,0.5,1.2162080900613848,0.4019445691992899
37,0.5,1.2358028878098501,0.3918959549693076
38,0.5,1.2549078156146038,0.3820985560950749
39,0.5,1.2735351202242386,0.3725460921926981
40,0.5,1.2916967422186327,0.3632324398878807
41,0.5,1.309404323663167,0.35415162889068363
42,0.5,1.3266692155715878,0.3452978381684165
43,0.5,1.343502485182298,0.3366653922142061
44,0.5,1.3599149230527405,0.32824875740885096
45,0.5,1.375917049976422,0.32004253847362973
