t,alpha,v,a
0,0.48,0.05,1.0
1,0.45999999999999996,0.09885000000000001,0.977
2,0.43999999999999995,0.1466753,0.956506
3,0.41999999999999993,0.1935951187,0.938396374
4,0.3999999999999999,0.23972321632600002,0.92256195252
5,0.3799999999999999,0.285168475215806,0.90890517779612
6,0.3599999999999999,0.33003544266192153,0.8973393489223098
7,0.33999999999999986,0.3744248401366689,0.8877879494949468
8,0.31999999999999984,0.4184340426944822,0.880184051156266
9,0.2999999999999998,0.46215753205406496,0.8744697871916554
10,0.2799999999999998,0.505687326605308,0.8705958910248619
11,0.2599999999999998,0.549113391359439,0.86852129508262
12,0.2399999999999998,0.5925240306631258,0.8682127860737348
13,0.2199999999999998,0.6360062663258313,0.8696447132541124
14,0.19999999999999982,0.679646203662573,0.8727987467348338
15,0.17999999999999983,0.7235293878296098,0.877663683340737
16,0.15999999999999984,0.767741152726973,0.8842352979472625
17,0.13999999999999985,0.8123669646578842,0.8925162386182239
18,0.11999999999999984,0.8574927628699369,0.9025159642410541
19,0.09999999999999984,0.9032052990555872,0.9142507237130064
20,0.07999999999999984,0.9495924778593648,0.9277435760755531
21,0.05999999999999983,0.9967437004257867,0.9430244513284383
22,0.05,1.0442518411747224,0.9501628149787107
23,0.05,1.0916412115717855,0.9477874079412639
24,0.05,1.138912108542856,0.9454179394214107
25,0.05,1.1860648282714987,0.9430543945728572
26,0.05,1.23309966620082,0.9406967585864251
27,0.05,1.280016917035318,0.938345016689959
28,0.05,1.3268168747427296,0.9359991541482341
29,0.05,1.3734998325558727,0.9336591562628636
30,0.05,1.4200660829744831,0.9313250083722063
31,0.05,1.4665159177670468,0.9289966958512759
32,0.05,1.5128496279726291,0.9266742041116477
33,0.05,1.5590675039026975,0.9243575186013685
34,0.05,1.6051698351429409,0.9220466248048651
35,0.05,1.6511569105550836,0.919741508242853
36,0.05,1.697029018278696,0.9174421544722458
37,0.05,1.7427864457329993,0.9151485490860651
38,0.05,1.7884294796186668,0.91286067771335
39,0.05,1.8339584059196201,0.9105785260190666
40,0.05,1.879373509904821,0.908302079704019
41,0.05,1.9246750761300588,0.906031324504759
42,0.05,1.9698633884397336,0.903766246193497
43,0.05,2.0149387299686343,0.9015068305780133
44,0.05,2.0599013831437127,0.8992530635015683
45,0.05,2.1047516296858535,0.8970049308428143
46,0.05,2.149489750611639,0.8947624185157073
47,0.05,2.19411602623511,0.892525512469418
48,0.05,2.238630736169522,0.8902941986882444
49,0.05,2.283034159329098,0.8880684631915239
50,0.05,2.3273265739307756,0.8858482920335451
51,0.05,2.3715082574959485,0.8836336713034612
52,0.05,2.4155794868522085,0.8814245871252026
53,0.05,2.459540538135078,0.8792210256573896
54,0.05,2.5033916867897403,0.8770229730932461
55,0.05,2.547133207572766,0.874830415660513
56,0.05,2.5907653745538344,0.8726433396213616
57,0.05,2.6342884611174497,0.8704617312723083
58,0.05,2.6777027399646562,0.8682855769441276
59,0.05,2.7210084831147445,0.8661148630017672
60,0.05,2.7642059619069577,0.8639495758442628
61,0.05,2.8072954470021902,0.8617897019046521
62,0.05,2.850277208384685,0.8596352276498904
63,0.05,2.8931515153637233,0.8574861395807658
64,0.05,2.935918636575314,0.8553424242318138
