t,norm,width_fwhm,peak_a2,chi
0,3.260927258878079,10.0,0.999020482116366,0.008
1,3.260927258878079,10.0,0.9990169764363613,0.008000001403646899
2,3.260927258878079,10.0,0.9990135604954649,0.008000004175009859
3,3.260927258878079,10.0,0.9990102343461571,0.008000008278137028
4,3.260927258878079,10.0,0.9990069980396877,0.008000013677056038
5,3.260927258878079,10.0,0.9990038516260759,0.008000020335774488
6,3.260927258878079,10.0,0.9990007951541089,0.008000028218280447
7,3.260927258878079,10.0,0.9989978286713409,0.008000037288542941
8,3.260927258878079,10.0,0.9989949522240911,0.008000047510512453
9,3.260927258878079,10.0,0.9989921658574441,0.008000058848121413
10,3.260927258878079,10.0,0.9989894696152489,0.008000071265284693
11,3.260927258878079,10.0,0.9989868635401159,0.008000084725900107
12,3.260927258878079,10.0,0.9989843476734181,0.0080000991938489
13,3.2609272588780795,10.0,0.9989819220552899,0.008000114632996252
14,3.260927258878079,10.0,0.9989795867246227,0.008000131007191767
15,3.260927258878079,10.0,0.9989773417190708,0.008000148280269974
16,3.260927258878079,10.0,0.9989751870750436,0.008000166416050825
17,3.2609272588780795,10.0,0.9989731228277089,0.008000185378340189
18,3.2609272588780795,10.0,0.9989711490109899,0.008000205130930355
19,3.260927258878079,10.0,0.9989692656575664,0.008000225637600524
20,3.2609272588780795,10.0,0.9989674727988717,0.008000246862117316
21,3.260927258878079,10.0,0.9989657704650932,0.00800026876823526
22,3.260927258878079,10.0,0.9989641586851719,0.008000291319697298
23,3.2609272588780787,10.0,0.9989626374868005,0.008000314480235285
24,3.260927258878079,10.0,0.9989612068964228,0.008000338213570489
25,3.260927258878079,10.0,0.9989598669392348,0.008000362483414087
26,3.2609272588780795,10.0,0.9989586176391813,0.008000387253467672
27,3.2609272588780795,10.0,0.9989574590189559,0.008000412487423747
28,3.2609272588780787,10.0,0.9989563911000028,0.008000438148966232
29,3.260927258878079,10.0,0.9989554139025144,0.008000464201770962
30,3.26092725887808,10.0,0.9989545274454292,0.008000490609506186
31,3.2609272588780787,10.0,0.9989537317464322,0.008000517335833075
32,3.260927258878079,10.0,0.9989530268219573,0.008000544344406219
33,3.2609272588780795,10.0,0.9989524126871823,0.00800057159887413
34,3.2609272588780795,10.0,0.9989518893560297,0.008000599062879749
35,3.260927258878079,10.0,0.9989514568411679,0.008000626700060942
36,3.260927258878079,10.0,0.9989511151540106,0.008000654474051004
37,3.2609272588780795,10.0,0.9989508643047132,0.008000682348479166
38,3.260927258878079,10.0,0.9989507043021755,0.008000710286971094
39,3.260927258878079,10.0,0.9989506351540404,0.008000738253149396
40,3.2609272588780795,10.0,0.9989506568666927,0.00800076621063412
41,3.2609272588780787,10.0,0.9989507694452596,0.008000794123043267
42,3.260927258878079,10.0,0.998950972893611,0.008000821953993282
43,3.260927258878079,10.0,0.9989512672143568,0.00800084966709957
44,3.260927258878079,10.0,0.9989516524088491,0.008000877225976989
45,3.2609272588780787,10.0,0.9989521284771797,0.008000904594240367
