t,norm,width_fwhm,peak_a2,chi
0,5.591608045045411,15.0,1.9599993113998169,0.2
1,5.591608045045412,15.0,1.9600498018900803,0.2
2,5.59160804504541,15.0,1.9601020892842975,0.2
3,5.591608045045411,15.0,1.9601561741341442,0.2
4,5.591608045045412,15.0,1.9602120570087507,0.2
5,5.59160804504541,15.0,1.9602697384947232,0.2
6,5.591608045045411,15.0,1.9603292191961612,0.2
7,5.591608045045412,15.0,1.9603904997346724,0.2
8,5.591608045045411,15.0,1.9604535807493864,0.2
9,5.591608045045412,15.0,1.9605184628969814,0.2
10,5.591608045045411,15.0,1.9605851468516933,0.2
11,5.591608045045413,15.0,1.9606536333053426,0.2
12,5.59160804504541,15.0,1.960723922967343,0.2
13,5.591608045045411,15.0,1.9607960165647353,0.2
14,5.591608045045411,15.0,1.9608699148421955,0.2
15,5.591608045045411,15.0,1.960945618562063,0.2
16,5.59160804504541,15.0,1.961023128504356,0.2
17,5.59160804504541,15.0,1.9611024454668011,0.2
18,5.591608045045412,15.0,1.9611835702648501,0.2
19,5.59160804504541,15.0,1.9612665037316996,0.2
20,5.591608045045411,15.0,1.9613512467183278,0.2
21,5.591608045045411,15.0,1.9614378000935018,0.2
22,5.591608045045411,15.0,1.9615261647438145,0.2
23,5.591608045045412,15.0,1.9616163415737027,0.2
24,5.59160804504541,15.0,1.9617083315054777,0.2
25,5.591608045045412,15.0,1.9618021354793476,0.2
26,5.591608045045411,15.0,1.961897754453443,0.2
27,5.591608045045411,15.0,1.9619951894038496,0.2
28,5.59160804504541,15.0,1.9620944413246308,0.2
29,5.591608045045411,15.0,1.9621955112278584,0.2
30,5.591608045045411,15.0,1.9622984001436397,0.2
31,5.591608045045412,15.0,1.962403109120149,0.2
32,5.59160804504541,15.0,1.9625096392236507,0.2
33,5.591608045045411,15.0,1.9626179915385449,0.2
34,5.591608045045411,15.0,1.9627281671673775,0.2
35,5.591608045045411,15.0,1.9628401672308904,0.2
36,5.591608045045411,15.0,1.9629539928680417,0.2
37,5.59160804504541,15.0,1.9630696452360425,0.2
38,5.591608045045411,15.0,1.9631871255103925,0.2
39,5.59160804504541,15.0,1.9633064348849063,0.2
