step,chi,peak,width,norm
0.0,0.02,1.9854969435087464,2.8366612644332863,5.3252350565507856
1.0,0.02,2.0161181278115126,2.830521122108848,5.389850313359722
2.0,0.02,2.049351358399287,2.8199171083202534,5.457782841531862
3.0,0.02,2.0823509966712233,2.8111909097003562,5.527427534771523
4.0,0.02,2.114869810694118,2.8056594372367707,5.599815972344106
5.0,0.02,2.1486338092004615,2.801100607421145,5.676028144663429
6.0,0.02,2.1857784103149758,2.7884461218636423,5.752888043782946
7.0,0.02,2.224512974481744,2.778888996600232,5.832340450809386
8.0,0.02,2.2623042549507106,2.769189451853337,5.915136068008898
9.0,0.02,2.301428829048428,2.755026739266018,5.999402721342537
10.0,0.02,2.3428538825112017,2.7481317026106935,6.0866950837847895
11.0,0.02,2.3854375264274323,2.7325511251943717,6.177582583246387
12.0,0.02,2.427673347229759,2.7164208257155287,6.269829205181908
13.0,0.02,2.471112758410052,2.697784710244852,6.36508283961423
14.0,0.02,2.5171357946562516,2.6863892834030283,6.463710033820948
15.0,0.02,2.5625848315608373,2.677342417888226,6.563159881466884
16.0,0.02,2.6092076079056046,2.6642708063098635,6.665576051883374
17.0,0.02,2.6565789357471896,2.6604696979035354,6.770512438581243
18.0,0.02,2.7037700737967567,2.647041922963456,6.878168016708163
19.0,0.02,2.7508093931054196,2.633553257027603,6.987808874352954
20.0,0.02,2.797018721261937,2.6228700173983284,7.098900565926771
21.0,0.02,2.8436944620069515,2.6134760710656084,7.209778547739659
22.0,0.02,2.8897740630762385,2.603125497318662,7.32335564171102
23.0,0.02,2.9364586754291815,2.5959205538733694,7.437442867301985
24.0,0.02,2.980400537260147,2.5847482318440917,7.553663206427275
25.0,0.02,3.0256266573710837,2.5748938402651005,7.670731269839547
26.0,0.02,3.067495418253962,2.564468557459011,7.786130876020483
27.0,0.02,3.1080548282959297,2.5634995254870816,7.902005457265194
28.0,0.02,3.147564445464648,2.5619997948966797,8.015992253459432
29.0,0.02,3.1854811587178027,2.5571374815706585,8.129355373976052
30.0,0.02,3.221055031647762,2.5496836206495703,8.240907415334112
31.0,0.02,3.254150406163026,2.544425733802118,8.35027633706148
32.0,0.02,3.2856908134955636,2.5416155888179506,8.458145889753501
33.0,0.02,3.3142622366888563,2.5435128171415324,8.56215552092834
34.0,0.02,3.340297521497347,2.5384738120022603,8.665281787030137
35.0,0.02,3.3648053071074573,2.54201571189256,8.766164496996632
36.0,0.02,3.3872560297057803,2.542556067770471,8.863860349431416
37.0,0.02,3.4073192819615805,2.548911828976558,8.959980428027373
38.0,0.02,3.42596586393379,2.555231427034085,9.051424631240218
39.0,0.02,3.4434461357835233,2.559225952785483,9.139690167761415
40.0,0.02,3.459232943067805,2.5636358100734467,9.225803570301553
41.0,0.02,3.4726202478771024,2.573206319807185,9.308570647784013
42.0,0.02,3.483697732520284,2.5852233900279593,9.389275710357401
43.0,0.02,3.493934931393211,2.5951469659353523,9.465659421993974
44.0,0.02,3.5030957590374996,2.6061493912241938,9.541046353918693
45.0,0.02,3.5115114040307156,2.616023725744306,9.61314603549388
46.0,0.02,3.518594459150319,2.628411529178981,9.683661322472629
47.0,0.02,3.5251768950819318,2.6414438858143368,9.751928163888739
48.0,0.02,3.5317184731600544,2.6534354955888966,9.818381675491691
49.0,0.02,3.5372734512971267,2.6633430141374403,9.883718829669268
50.0,0.02,3.5413815632943493,2.6749846662312966,9.946414821275733
51.0,0.02,3.5457967081312103,2.6879337486055475,10.00711775692774
52.0,0.02,3.5490586515172025,2.7018925921007986,10.06648144047967
53.0,0.02,3.5520185136246747,2.71312250221835,10.124043138264051
54.0,0.02,3.553972068979458,2.7261897776057165,10.17961446268807
55.0,0.02,3.5565181706528164,2.7405155705570237,10.234178499443418
56.0,0.02,3.55848414304117,2.7557129113187466,10.287393953718482
57.0,0.02,3.5604173073173606,2.772743830797051,10.338899133692516
58.0,0.02,3.561746168413552,2.786651091382581,10.390302139935045
59.0,0.02,3.5637568759258142,2.804518658394769,10.441137120196991
60.0,0.02,3.5647514313332533,2.8218163937995318,10.489834254618188
61.0,0.02,3.564750568606753,2.837700585642736,10.537260373030529
62.0,0.02,3.565691731380901,2.852713799563793,10.583343462343922
63.0,0.02,3.5668282050707627,2.865872865975277,10.629283528776174
64.0,0.02,3.5679660852435093,2.8809908566503912,10.673600808044581
65.0,0.02,3.5686756045408345,2.8933916627032845,10.7178500513589
66.0,0.02,3.5686143394334953,2.906134639356806,10.759934383006433
67.0,0.02,3.5695825807685018,2.917841512997958,10.801392520423063
68.0,0.02,3.570043980245349,2.931069193647131,10.842535255251375
69.0,0.02,3.5707759298290735,2.9490779420448066,10.884871152235482
70.0,0.02,3.570665332633153,2.9643886389544094,10.925934069703349
71.0,0.02,3.5710724218341223,2.978830578697374,10.965955940815089
72.0,0.02,3.57104337484977,2.9943855454805415,11.004897579529544
73.0,0.02,3.5717032721289392,3.008954093795025,11.044922095593815
74.0,0.02,3.5716195350161515,3.0228805116841384,11.082908227252815
75.0,0.02,3.571014672487192,3.0366984144854325,11.121299009720296
76.0,0.02,3.5720974731156274,3.051182330221729,11.160152211612942
77.0,0.02,3.5726590838020793,3.0659381230930127,11.198355232440013
78.0,0.02,3.5726306247119832,3.0820098784511165,11.236129937346679
79.0,0.02,3.572642125769752,3.096269995269974,11.272041245505948
80.0,0.02,3.572664755606971,3.113118219887877,11.308081919268453
81.0,0.02,3.5723267905440386,3.127753188682428,11.343623621422449
82.0,0.02,3.572765164664777,3.141044658032593,11.37926197750239
83.0,0.02,3.5719976374092264,3.153727625133874,11.413604182514344
84.0,0.02,3.572314958660825,3.166094285443572,11.447766127111006
85.0,0.02,3.5725821240693723,3.177979154092797,11.480618419504658
86.0,0.02,3.572524506071628,3.194758321335981,11.512916187986642
87.0,0.02,3.5731333504599827,3.2095522011929307,11.545209617500891
88.0,0.02,3.5734531980534623,3.224308625979317,11.576960569408927
89.0,0.02,3.5740487515287978,3.2375318780538724,11.60833154968367
90.0,0.02,3.572484331730548,3.2510073530222305,11.639101838323617
91.0,0.02,3.5726846078459684,3.2663086062935927,11.669548971079658
92.0,0.02,3.5732262814075093,3.2808570698995974,11.700365346881346
93.0,0.02,3.5734949712111197,3.294981565457157,11.729656292453974
94.0,0.02,3.5737978697591104,3.3084295596082636,11.7594535678325
95.0,0.02,3.573362775641853,3.3208947086866893,11.78822615393667
96.0,0.02,3.572969247171734,3.336443477327216,11.816934489633864
97.0,0.02,3.5733729537573478,3.3489926678457187,11.847190214167064
98.0,0.02,3.573342061440599,3.362431582771312,11.876651425060619
99.0,0.02,3.5736287881919573,3.3745820738695325,11.905993111709645
100.0,0.02,3.5737921903338683,3.387529151223627,11.934486719654364
101.0,0.02,3.5740549516384474,3.400888894925986,11.9650579297702
102.0,0.02,3.5739719261626024,3.413801940035225,11.99425965863303
103.0,0.02,3.574392713134322,3.4279937217788548,12.02411405343063
104.0,0.02,3.573622303785166,3.4409102613557003,12.05309812891446
105.0,0.02,3.5733371916318935,3.454820349436126,12.082270374419332
106.0,0.02,3.5733297422628767,3.469912002790666,12.111709121581717
107.0,0.02,3.57395721033111,3.4835013647701007,12.142470939606245
108.0,0.02,3.574377309702779,3.499215168024872,12.172912807733718
109.0,0.02,3.574868954075314,3.512896298189318,12.202140481918445
110.0,0.02,3.574772456650515,3.528506701107914,12.231013314972403
111.0,0.02,3.5746538496088527,3.54384723554411,12.259978190032296
112.0,0.02,3.5736713903366035,3.5587809733461575,12.287808870585959
113.0,0.02,3.5729426295333786,3.5723195563043455,12.3158423221222
114.0,0.02,3.5734699046936913,3.5867277708751137,12.344491066758874
115.0,0.02,3.57394986742145,3.601115299975299,12.371462663773558
116.0,0.02,3.573146498667723,3.614013861769207,12.398197180959446
117.0,0.02,3.5738878847366777,3.6279394309937563,12.424986297756131
118.0,0.02,3.574214933292772,3.6410185045658015,12.45178494245569
119.0,0.02,3.574130025834248,3.654836191776614,12.4770943283787
120.0,0.02,3.573603381312636,3.6692075149517636,12.502279820806208
121.0,0.02,3.5741039112957234,3.682693333354935,12.527889032083072
122.0,0.02,3.5743366383198607,3.6929486229198343,12.552481492770152
123.0,0.02,3.573643552491534,3.70602098365307,12.577106617361762
124.0,0.02,3.5736188856984406,3.7181861106309246,12.60094017016456
125.0,0.02,3.574046152701529,3.729956422135491,12.624754095480476
126.0,0.02,3.5736185766953636,3.742516041664866,12.648342468415121
127.0,0.02,3.5735615351301613,3.754701302280306,12.672217301190182
128.0,0.02,3.5732461568707863,3.767548697008462,12.695930592378318
129.0,0.02,3.573224261470058,3.781275271866064,12.71932878607055
130.0,0.02,3.5737611433651577,3.7948362895644454,12.74212648603204
131.0,0.02,3.5739671282719963,3.8074555836053667,12.765985791884223
132.0,0.02,3.573987734810947,3.822480310934522,12.78884532715771
133.0,0.02,3.573460714166652,3.8347789079337997,12.812578762861047
134.0,0.02,3.5737343398389294,3.8485906191153183,12.83684023373556
135.0,0.02,3.5737391345149034,3.861690915313434,12.860394257410837
136.0,0.02,3.5737644125523222,3.876944489758792,12.885357949513262
137.0,0.02,3.573527951301578,3.888787951452368,12.908912286976683
138.0,0.02,3.5734873081858396,3.9027172109358372,12.933056748250419
139.0,0.02,3.5734444585861906,3.917527818964795,12.957093882993375
140.0,0.02,3.573197375111446,3.9311471351506673,12.981946003419598
141.0,0.02,3.573095254580122,3.944030236938399,13.005387308559055
142.0,0.02,3.573147343359321,3.957493959425945,13.030317257004668
143.0,0.02,3.57335025638728,3.971526984411789,13.05538601780436
144.0,0.02,3.5735824431364382,3.9860350942491958,13.080643905898432
145.0,0.02,3.5737432486994143,4.0010800499538135,13.10720187669864
146.0,0.02,3.5744867484775726,4.014430651940485,13.13241689917141
147.0,0.02,3.573817093212991,4.027413295087905,13.156908060259836
148.0,0.02,3.5735706470540505,4.040753079881421,13.182481842069118
149.0,0.02,3.573629672944464,4.0547685376216,13.207049457011477
150.0,0.02,3.573512035709536,4.069234006336054,13.231427093967229
151.0,0.02,3.573783729082281,4.083641878987399,13.255417997700475
152.0,0.02,3.573319988920715,4.0975105031772845,13.279422437199992
153.0,0.02,3.573044866281264,4.112897616833123,13.303651583549751
154.0,0.02,3.572765829759177,4.127685533599764,13.327351798649184
155.0,0.02,3.5726894895705144,4.139796986252045,13.350797209419266
156.0,0.02,3.572561575775543,4.153544465369382,13.373612025245274
157.0,0.02,3.572615199258275,4.166122797194435,13.39605679088614
158.0,0.02,3.572859510392601,4.17744659022516,13.418629789206904
159.0,0.02,3.573299244000618,4.1889605115933435,13.440982430632697
160.0,0.02,3.573940995817066,4.201693537384689,13.46280663480137
161.0,0.02,3.5738170103779305,4.214847040685969,13.483375318509582
162.0,0.02,3.5736788141436837,4.226313762788539,13.50399876347285
163.0,0.02,3.5734258860403623,4.238661260743127,13.524832639566519
164.0,0.02,3.573223423537863,4.250058223259173,13.544658471261894
165.0,0.02,3.5728634525746497,4.261499520974285,13.564582935935634
166.0,0.02,3.5729889889055304,4.273226376942185,13.584330787867742
167.0,0.02,3.572979657241579,4.2867387306146965,13.604650940195311
168.0,0.02,3.572759414198478,4.2999157803253745,13.62409675599693
169.0,0.02,3.572930260405638,4.311594457442762,13.643926757185312
170.0,0.02,3.572905125733624,4.32474021856954,13.66425232032166
171.0,0.02,3.573766212089669,4.337445014106374,13.684194539033953
172.0,0.02,3.5732234140328494,4.350168403420972,13.703713563266081
173.0,0.02,3.5734691455999723,4.363569890317073,13.724749967364437
174.0,0.02,3.5735791899406504,4.375244821800664,13.744990247355865
175.0,0.02,3.573200388824827,4.387360384070409,13.765768481840237
176.0,0.02,3.5729285687163066,4.3998228847659755,13.786723692601093
177.0,0.02,3.5727668985857495,4.412939416069275,13.807775508564436
178.0,0.02,3.573265094377511,4.424958491061157,13.828471061092385
179.0,0.02,3.574066684533485,4.438517315771798,13.850223733255094
180.0,0.02,3.5740918871004284,4.452184187453354,13.871795848911434
181.0,0.02,3.5739510630567755,4.467207328083909,13.894018718565388
182.0,0.02,3.5743652658884297,4.479933888513482,13.915917144386226
183.0,0.02,3.574311288175329,4.493494132644464,13.93804329644515
184.0,0.02,3.574041579451781,4.508170642835133,13.960485233551701
185.0,0.02,3.5746557142956137,4.521165589968214,13.983284892864546
186.0,0.02,3.5739975686299106,4.537634834822461,14.005374490610306
187.0,0.02,3.5740634954611106,4.5523563714184165,14.028437581731927
188.0,0.02,3.573738783013922,4.567318140201174,14.051199489891005
189.0,0.02,3.5738140590619105,4.58199637568342,14.074331074677945
190.0,0.02,3.573619114470161,4.595520332091386,14.095775003227818
191.0,0.02,3.574889467411913,4.608032535350501,14.118333036233063
192.0,0.02,3.5741748856270354,4.622771910365699,14.140954346350867
193.0,0.02,3.5739692960658336,4.636670265393957,14.162532829123085
194.0,0.02,3.5733505207312506,4.650759104086791,14.18417844256519
195.0,0.02,3.573385837298858,4.664657237155629,14.205997392405854
196.0,0.02,3.573393077352379,4.678448153820236,14.228068306630949
197.0,0.02,3.5737223465134873,4.690145175235188,14.250443473785996
198.0,0.02,3.573384783721873,4.7020693769261195,14.270340652156179
199.0,0.02,3.573623117787472,4.714815064724498,14.290482189073728
200.0,0.02,3.5733224969457416,4.725526514189834,14.310871380550115
201.0,0.02,3.573487240476094,4.7370900801524645,14.330213549324537
202.0,0.02,3.5736285767007847,4.748647173973408,14.349798760491485
203.0,0.02,3.573493480387946,4.760296924609924,14.368517884366742
204.0,0.02,3.5729900303858035,4.772757312847549,14.38773031316986
205.0,0.02,3.573037781904924,4.785754731021281,14.406620191404896
206.0,0.02,3.5731367454236977,4.797365449810601,14.425740461249351
207.0,0.02,3.5731039349567775,4.808670169626728,14.443020809752861
208.0,0.02,3.573315219594397,4.818904843470322,14.460597856164704
209.0,0.02,3.5735221520742533,4.829917471312667,14.479176964083635
210.0,0.02,3.573068121685405,4.840157365468068,14.49694095881723
211.0,0.02,3.573023959527199,4.851912441604112,14.515371203567733
212.0,0.02,3.5735095772178296,4.862525145269669,14.53399346614058
213.0,0.02,3.574095921677496,4.873790550287313,14.552123374809453
214.0,0.02,3.57410473062435,4.885386198415459,14.570307868112861
215.0,0.02,3.574567905839591,4.89764805089839,14.587854276679277
216.0,0.02,3.5745731870863624,4.910008101463477,14.605452750560442
217.0,0.02,3.5744756514089944,4.9215344004120345,14.623258067318442
218.0,0.02,3.574312457413795,4.932425050373676,14.642572635161885
219.0,0.02,3.574292705537187,4.945032246541703,14.661292929137101
220.0,0.02,3.5742957530104547,4.9581801081783405,14.679580761557876
221.0,0.02,3.5738694109306164,4.971015188361519,14.698167273251922
222.0,0.02,3.573156169775343,4.984429054774379,14.717003305590318
223.0,0.02,3.5730070950222466,4.997875341074183,14.736560253453543
224.0,0.02,3.572625603327179,5.010508758441239,14.754974662994124
225.0,0.02,3.5730416568523555,5.023942117301575,14.775036751321412
226.0,0.02,3.5731908410344166,5.0368798931996865,14.795512530174232
227.0,0.02,3.572887765888365,5.049992813752427,14.81653632275437
228.0,0.02,3.572932744151644,5.064003345469173,14.83757512634488
229.0,0.02,3.573803614296504,5.078378593492956,14.859403795371708
230.0,0.02,3.5734668719021165,5.091987014466175,14.879734260228673
231.0,0.02,3.5733410950791287,5.105241056084204,14.900557801761112
232.0,0.02,3.5739802647054333,5.118313730028619,14.922663687635554
233.0,0.02,3.5739629121342587,5.1307636190682215,14.944124177427701
234.0,0.02,3.5739894385385487,5.144122159654004,14.965450319714652
235.0,0.02,3.5738523841126844,5.157659736572259,14.986915979443094
236.0,0.02,3.5738546357057306,5.171273673714908,15.006872757219341
237.0,0.02,3.573805529662427,5.183092980591055,15.026825674433068
238.0,0.02,3.5739541763745004,5.197456363136099,15.047811780654879
239.0,0.02,3.57385678923864,5.211416474091568,15.068246834967532
240.0,0.02,3.57355568492237,5.224627764706572,15.087825058996769
241.0,0.02,3.573500737555186,5.237402097737882,15.10684589660366
242.0,0.02,3.573629866067663,5.250621918122683,15.126325521675142
243.0,0.02,3.573778310411693,5.2627628633522825,15.145924727709767
244.0,0.02,3.574614574453627,5.274262146225444,15.164311499976876
245.0,0.02,3.5740019805154013,5.286552080384839,15.181546642163848
246.0,0.02,3.5741983127594947,5.299136986406922,15.20068278921428
247.0,0.02,3.573978731674422,5.311887104763143,15.217251696944805
248.0,0.02,3.574311397455146,5.323555130638296,15.234595294270122
249.0,0.02,3.573831558377107,5.334491300620868,15.251709849745858
250.0,0.02,3.5733416474418966,5.345296286939107,15.26795451534505
251.0,0.02,3.5736096472492407,5.356302340407604,15.28518650830362
