step,chi,peak,width,norm
0.0,0.03,0.9981253994527582,4.274983586100174,3.260764821649161
1.0,0.03,1.010128609406418,4.282819098472705,3.2892543657709354
2.0,0.03,1.0254298141900973,4.276024898901747,3.3199886720821357
3.0,0.03,1.0390971926022885,4.27197393958231,3.3517870093768325
4.0,0.03,1.0506779486902917,4.276509750698304,3.385781972843495
5.0,0.03,1.0641665041621649,4.28289066130329,3.4233763363233494
6.0,0.03,1.0806404356360446,4.265421333151225,3.459170517084082
7.0,0.03,1.099504095394213,4.258955976445712,3.496546180212096
8.0,0.03,1.1154071852987832,4.247242247627453,3.5368609942543303
9.0,0.03,1.1326292744390027,4.225285866542789,3.5770046042684123
10.0,0.03,1.1531431933857246,4.22786237996814,3.6196444989264847
11.0,0.03,1.174787096756901,4.194370697556742,3.6661131966718763
12.0,0.03,1.1950039384863065,4.159241450715322,3.7124379530866296
13.0,0.03,1.2169059637660111,4.121804660093769,3.761649632327311
14.0,0.03,1.243363230369269,4.104382755954786,3.815156341066963
15.0,0.03,1.2687535675910442,4.084698350068504,3.867613664780867
16.0,0.03,1.2966728387099267,4.060696764959967,3.924766002965229
17.0,0.03,1.3267506293524685,4.065139580150705,3.9859194930502495
18.0,0.03,1.3576213125921335,4.028912499356475,4.0508977437878295
19.0,0.03,1.3899804857591667,3.991239162055593,4.120218662276738
20.0,0.03,1.4229970487269177,3.962554496560718,4.192859182442224
21.0,0.03,1.4598961816646574,3.9331761310149047,4.268507204894581
22.0,0.03,1.499256195236396,3.899898865334835,4.351412925627727
23.0,0.03,1.5443569271420279,3.8672467675399855,4.439683376203137
24.0,0.03,1.5892588219964021,3.8125987008891378,4.537085968555133
25.0,0.03,1.6431781540926482,3.7611537160599364,4.643362573588311
26.0,0.03,1.697752022830997,3.7026471892312323,4.7554768303839685
27.0,0.03,1.7579083827537556,3.66892443107234,4.87900245199425
28.0,0.03,1.8254021856867082,3.625496494850019,5.0116326185730244
29.0,0.03,1.9004258814286066,3.562688357838978,5.157906861038178
30.0,0.03,1.9827043573141736,3.4858430312291246,5.318087666100472
31.0,0.03,2.07336415237136,3.4110328228184943,5.494297200356408
32.0,0.03,2.1757928284054344,3.335920361353158,5.691090934740686
33.0,0.03,2.288806856378761,3.269276727052582,5.906836541108111
34.0,0.03,2.414551608596654,3.1753653174129473,6.150175655262209
35.0,0.03,2.556582514611836,3.1031093100758635,6.423746101286079
36.0,0.03,2.715198743462466,3.016953272292313,6.72898809758923
37.0,0.03,2.8901288032903674,2.9381982643345435,7.072150580974375
38.0,0.03,3.0819602803351973,2.857546802793622,7.449986789357328
39.0,0.03,3.2874974136581363,2.772057290828259,7.863999177658166
40.0,0.03,3.4986843982387206,2.691732571205871,8.310691625750891
41.0,0.03,3.7038460402935707,2.6310535047103234,8.777409977589013
42.0,0.03,3.8905785278180445,2.583746414602154,9.250678302077683
43.0,0.03,4.0495997335504725,2.5468273111120956,9.710262105674323
44.0,0.03,4.174313866789686,2.525222775489974,10.145132098484014
45.0,0.03,4.265636151402989,2.5165410878022447,10.544080856067529
46.0,0.03,4.328473064255484,2.5223411131509255,10.906451735681838
47.0,0.03,4.369355349108467,2.538527555915662,11.233150262350701
48.0,0.03,4.3965705579350915,2.561254513624862,11.527887944517047
49.0,0.03,4.4129789592212925,2.58736539660597,11.795541975492924
50.0,0.03,4.423049628849924,2.6191652798453955,12.039992967544089
51.0,0.03,4.429873248177747,2.6568410721725146,12.267196171618993
52.0,0.03,4.433271922922325,2.698316837058575,12.4817371409802
53.0,0.03,4.435410511865067,2.737240530467895,12.685257255435904
54.0,0.03,4.436299307721573,2.7789663845130117,12.876311420566342
55.0,0.03,4.437483360467654,2.8227478676369517,13.054766747605825
56.0,0.03,4.437901881173299,2.8674882888649798,13.221733466699481
57.0,0.03,4.43831644202132,2.9139705807089284,13.379430441796902
58.0,0.03,4.438333181880267,2.9586261327210392,13.533677216480438
59.0,0.03,4.438912728051413,3.0081428526254417,13.687015560356375
60.0,0.03,4.438735670406155,3.0576437301983486,13.839421960422982
61.0,0.03,4.438596130191081,3.1059336653150287,13.990587013297477
62.0,0.03,4.439182450672801,3.1520984033075163,14.135776298783584
63.0,0.03,4.439467788401784,3.1948000865985082,14.272900605337655
64.0,0.03,4.439350308572301,3.237463708530976,14.39959877729373
65.0,0.03,4.438975162179139,3.276370136981253,14.517686827518888
66.0,0.03,4.438616436910523,3.316519848211563,14.629035772581812
67.0,0.03,4.438873816822549,3.3567128603921734,14.739542398996567
68.0,0.03,4.438848952301322,3.399506853794495,14.852750763016697
69.0,0.03,4.439050795163916,3.448438891816868,14.971752235704953
70.0,0.03,4.4389699216210134,3.4966065391429386,15.093834463196883
71.0,0.03,4.439236093602105,3.5433432941206418,15.217478175746228
72.0,0.03,4.438986116083416,3.5904239856907707,15.337795233595122
73.0,0.03,4.439704037705658,3.6343671199826875,15.453213809878944
74.0,0.03,4.439382562145525,3.675052805391819,15.558127208160075
75.0,0.03,4.4395730765720876,3.7124809693250698,15.653990343033465
76.0,0.03,4.439118858844688,3.7493867289159066,15.743990597333793
77.0,0.03,4.439231394635178,3.786601425745177,15.829684482737152
78.0,0.03,4.4390509215983895,3.8264813022629824,15.91573025871415
79.0,0.03,4.438888931293615,3.86686010867405,16.004276695101016
80.0,0.03,4.438922992805231,3.9112450428225882,16.098733471695276
81.0,0.03,4.438773590452292,3.956520083069086,16.199378336804433
82.0,0.03,4.438919853029224,4.002620724510243,16.305284978275925
83.0,0.03,4.438826498813791,4.04825218056304,16.412459875707338
84.0,0.03,4.438930016834048,4.092674868823088,16.517784566569688
85.0,0.03,4.438941465656275,4.134100398784872,16.616184716548776
86.0,0.03,4.438903356270739,4.176023528829303,16.706283236722204
87.0,0.03,4.439536060755907,4.213708150952208,16.78789490810825
88.0,0.03,4.439459069217757,4.248737547861826,16.862118953243357
