t,norm,width_fwhm,peak_a2,chi
0,5.591608045045411,15.0,1.9599993113998169,0.09926340008183923
1,5.591608045045411,15.0,1.960011639194119,0.07240738139252878
2,5.591608045045411,15.0,1.960019041195696,0.11274878289011657
3,5.591608045045412,15.0,1.960036511354692,0.05
4,5.591608045045411,15.0,1.9600421214875647,0.05
5,5.591608045045411,15.0,1.9600481748110674,0.0754407348359329
6,5.591608045045411,15.0,1.9600586802557842,0.05
7,5.591608045045411,15.0,1.9600658488700362,0.05
8,5.591608045045411,15.0,1.960073460729063,0.05
9,5.591608045045411,15.0,1.9600815158504434,0.05
10,5.591608045045411,15.0,1.9600900142527757,0.09397588456468903
11,5.591608045045411,15.0,1.9601069240153683,0.20367480621240197
12,5.59160804504541,15.0,1.9601660143655417,0.20699110893326547
13,5.591608045045411,15.0,1.9602286638508382,0.23367342787912265
14,5.591608045045411,15.0,1.960308093395865,0.15941739023352391
15,5.591608045045411,15.0,1.9603526091055876,0.3087758016606174
16,5.59160804504541,15.0,1.960487313763988,0.303193495611719
17,5.591608045045411,15.0,1.9606204841160768,0.19667489325783144
18,5.591608045045411,15.0,1.9606887785961815,0.32813044842320715
19,5.59160804504541,15.0,1.960846499928861,0.28935550726149173
20,5.59160804504541,15.0,1.9609767729218024,0.2589885111426443
21,5.591608045045411,15.0,1.9610885066041035,0.3486029746621536
22,5.591608045045411,15.0,1.961271853197657,0.2747822077367284
23,5.591608045045411,15.0,1.9613998353299593,0.23323378861828337
24,5.59160804504541,15.0,1.9615034665490312,0.23941050828848492
25,5.591608045045412,15.0,1.9616129292947535,0.06491952066713788
26,5.591608045045411,15.0,1.9616571251231103,0.05
27,5.59160804504541,15.0,1.9616997450950309,0.13142591281737415
28,5.591608045045413,15.0,1.96176150880003,0.1448547339466779
29,5.59160804504541,15.0,1.9618291702437913,0.18184420284245714
30,5.591608045045411,15.0,1.961913501715858,0.15511350877983265
31,5.591608045045411,15.0,1.9619880293596939,0.14839545132104687
32,5.59160804504541,15.0,1.9620613699833303,0.05
33,5.591608045045412,15.0,1.9621113102824697,0.12610741472339684
34,5.591608045045411,15.0,1.9621786719281478,0.177880141986701
35,5.591608045045411,15.0,1.9622671860107812,0.05
36,5.591608045045411,15.0,1.9623203220460024,0.05
37,5.591608045045411,15.0,1.9623739072292143,0.05
38,5.591608045045411,15.0,1.9624279416852455,0.05
39,5.591608045045411,15.0,1.96248242553998,0.12270602379247098
40,5.591608045045411,15.0,1.9625532692854257,0.05
41,5.591608045045411,15.0,1.9626093122942347,0.05
42,5.59160804504541,15.0,1.96266580518051,0.13780390205350446
43,5.591608045045411,15.0,1.9627436660183952,0.2114800229807996
44,5.591608045045411,15.0,1.9628555593574022,0.15339478128990866
45,5.591608045045411,15.0,1.9629423737809302,0.11259276383981114
46,5.591608045045411,15.0,1.9630167732537807,0.1145674619783482
47,5.591608045045411,15.0,1.9630927652314216,0.08675176426254824
48,5.59160804504541,15.0,1.9631626837779934,0.12980886594963947
49,5.591608045045412,15.0,1.9632452435348282,0.18113621795057466
50,5.59160804504541,15.0,1.9633493245791176,0.19226681989046138
51,5.591608045045411,15.0,1.9634603625616902,0.16590202298321732
52,5.591608045045412,15.0,1.963561110842522,0.15094077351199736
53,5.59160804504541,15.0,1.9636573288341177,0.19712797749856395
54,5.591608045045411,15.0,1.9637754421761453,0.10177074560329838
55,5.591608045045411,15.0,1.9638590057129144,0.07445265519847462
56,5.591608045045411,15.0,1.963937378295859,0.0943005631954168
57,5.591608045045412,15.0,1.9640206847033,0.09807992281290716
58,5.591608045045411,15.0,1.9641057762242469,0.06281101618145858
59,5.591608045045411,15.0,1.9641845531899353,0.1274426585281052
60,5.591608045045411,15.0,1.9642795521442058,0.11235829485362014
61,5.59160804504541,15.0,1.9643711042731304,0.22490883375559678
