step,chi,peak,width,norm
0.0,0.006,0.998655932946888,4.300768434266859,3.2606922417497253
1.0,0.00616146375337528,0.9824665016954565,4.368509219605431,3.2228183979607357
2.0,0.006438512140764551,0.9708124587781133,4.413638556817709,3.1879492953800823
3.0,0.006854027233588221,0.9568177498462929,4.463394967039584,3.1544889177646165
4.0,0.007430291467861699,0.9405333211037386,4.529000201284311,3.1241420919210765
5.0,0.00813580692257807,0.9273426125774273,4.600297816683093,3.0987622790259337
6.0,0.008942286305836846,0.9169363379759056,4.629626290969777,3.0708704059097243
7.0,0.009811804699341635,0.9102921749966978,4.6817499206437585,3.0451388077970756
8.0,0.010788914506331886,0.8991556085086024,4.724388140303414,3.0232236231648257
9.0,0.011855513454097778,0.8897909451156735,4.7485196901704265,3.0006891174251917
10.0,0.01296789700555436,0.8847724985712533,4.8239612525177735,2.981159489381794
11.0,0.014118035132458767,0.8805408334607712,4.819896215704255,2.9661568115597245
12.0,0.01533316532603241,0.8735630139798125,4.815332435314565,2.949968400962004
13.0,0.016595914160956363,0.8683011036774163,4.811247353454358,2.9364939763934492
14.0,0.017851998219576892,0.8684629121045148,4.846535076951152,2.9275310883522914
15.0,0.01913003103337277,0.8657584103207425,4.8795378186345735,2.9149986621255883
16.0,0.02,0.8651942534276639,4.909238329572724,2.9070787661651436
17.0,0.02,0.8656784868818602,5.007895115692559,2.9016994252511683
18.0,0.02,0.86444800167164,5.01215682215508,2.8960968332228396
19.0,0.02,0.8624605853270868,5.0158434789973985,2.8911296702253124
20.0,0.02,0.8582399930413807,5.055246901414646,2.8843840217030046
21.0,0.02,0.8561790564104089,5.085343319399797,2.8758720250292265
22.0,0.02,0.8535892860689773,5.122158452360365,2.8698118045546313
23.0,0.02,0.8547136523802921,5.161689694789609,2.8629526045648577
24.0,0.02,0.8500894876520826,5.143292901614009,2.859485886291606
25.0,0.02,0.8530143865129358,5.14087906502924,2.857461270598617
26.0,0.02,0.8497562428713931,5.125245541300396,2.85173396201842
27.0,0.02,0.8471061108131459,5.196520539569135,2.8488104909479732
28.0,0.02,0.8465556248722548,5.248525224525526,2.8428227529921615
29.0,0.02,0.846847257138793,5.242724270319889,2.8387578509350275
30.0,0.02,0.8458532909444898,5.197094135152091,2.833637814244594
31.0,0.02,0.8437658604133489,5.17448269816276,2.827754907534994
32.0,0.02,0.8439278551062772,5.151883155308656,2.8242270969634675
33.0,0.02,0.8417486143009901,5.1847375586953115,2.816587471017755
34.0,0.02,0.8380288986772761,5.1132344174478135,2.8116981620209747
35.0,0.02,0.8365117084113891,5.154560315144455,2.809106821765893
36.0,0.02,0.8352000447588944,5.135556529800877,2.8053524506796843
37.0,0.02,0.8323996684740038,5.154742050737358,2.8051991655733906
38.0,0.02,0.8315098752179415,5.179094380786855,2.7987415070266533
39.0,0.02,0.8332273721051666,5.161516510821632,2.791655391426565
40.0,0.02,0.8347617360762523,5.134474977745719,2.7865940446453057
41.0,0.02,0.8334481757361196,5.1950342121500634,2.779903853852051
42.0,0.02,0.8287755615568637,5.253153337016014,2.7752973566510013
43.0,0.02,0.826062199783733,5.281313722681768,2.7672855698224725
44.0,0.02,0.8238411998780095,5.310665298938769,2.76098895610609
45.0,0.02,0.8216713987010493,5.322842797488835,2.7531325238232514
46.0,0.02,0.8180884281568922,5.349800510908005,2.7464422928202374
47.0,0.02,0.8159742693130508,5.3783283090307945,2.739410719651906
48.0,0.02,0.8166758286175542,5.38851258191411,2.7329454024334305
49.0,0.02,0.8164386490319822,5.357142653292124,2.7295620343146885
50.0,0.02,0.8132752405617987,5.331949999404535,2.7239539548904546
51.0,0.02,0.8157198477821883,5.342630776766248,2.7178290210867613
52.0,0.02,0.8131814986954227,5.381100113852747,2.711997021215072
53.0,0.02,0.8111975407322145,5.3436562235816165,2.705939694322002
54.0,0.02,0.8066505127035767,5.351491782411185,2.697331993307739
55.0,0.02,0.8048931232975287,5.394417677976125,2.690830528348083
56.0,0.02,0.8035770290517046,5.444192658901604,2.6851121320649525
57.0,0.02,0.8022677979637126,5.510166769132896,2.678259790420621
58.0,0.02,0.7994561191565721,5.504539071616174,2.6757913364446533
59.0,0.02,0.7999672268225886,5.585002948734649,2.6742892270074843
60.0,0.02,0.7974766143230863,5.652284246363751,2.669674071188446
61.0,0.02,0.7913807098472885,5.6929652702801,2.6649267790560054
62.0,0.02,0.7861290934387473,5.722577680458905,2.658262363845668
63.0,0.02,0.7852359485220095,5.703433041501892,2.6542586520853737
64.0,0.02,0.7852071904528157,5.719019220239357,2.6485451243401426
65.0,0.02,0.783974946014712,5.662815858553765,2.643958002134528
66.0,0.02,0.7798893645831184,5.658097481864367,2.634464868856137
67.0,0.02,0.7799373289567879,5.605676659826928,2.627091166445324
68.0,0.02,0.7780577901307607,5.575358037488617,2.619306664194838
69.0,0.02,0.7774007372361798,5.6686281204548745,2.6177928725343818
