t,norm,width_fwhm,peak_a2,chi
0,3.260927258878079,10.0,0.999020482116366,0.00548158500204598
1,3.260927258878079,10.0,0.9990169714771937,0.004810184534813219
2,3.260927258878079,10.0,0.9990135446582993,0.005818719572252913
3,3.260927258878079,10.0,0.9990102028591953,0.0020023651749169875
4,3.2609272588780795,10.0,0.9990069427197188,0.0
5,3.260927258878079,10.0,0.9990037605912889,0.0006360183708983226
6,3.260927258878079,10.0,0.999000652559637,0.0
7,3.260927258878079,10.0,0.9989976201611591,0.0
8,3.2609272588780795,10.0,0.998994662078053,0.0
9,3.2609272588780787,10.0,0.9989917783586416,0.0
10,3.2609272588780787,10.0,0.9989889690498024,0.0010993971141172257
11,3.260927258878079,10.0,0.9989862340802496,0.0038418701553100494
12,3.260927258878079,10.0,0.9989835772460335,0.003924777723331637
13,3.2609272588780787,10.0,0.9989810025795367,0.004591835696978066
14,3.260927258878079,10.0,0.9989785109586503,0.002735434755838098
15,3.260927258878079,10.0,0.9989761012272526,0.0064693950415154345
16,3.2609272588780787,10.0,0.9989737762075417,0.006329837390292974
17,3.260927258878079,10.0,0.9989715383165311,0.003666872331445785
18,3.2609272588780795,10.0,0.9989693838782306,0.006953261210580177
19,3.260927258878079,10.0,0.9989673163017492,0.005983887681537291
20,3.260927258878079,10.0,0.9989653353346075,0.005224712778566106
21,3.260927258878079,10.0,0.9989634397212469,0.007465074366553838
22,3.2609272588780787,10.0,0.9989616333314327,0.005619555193418208
23,3.260927258878079,10.0,0.9989599129437973,0.004580844715457082
24,3.2609272588780795,10.0,0.9989582770074855,0.004735262707212121
25,3.2609272588780787,10.0,0.9989567251859269,0.0003729880166784454
26,3.2609272588780795,10.0,0.998955255128867,0.0
27,3.260927258878079,10.0,0.998953860876719,0.002035647820434354
28,3.2609272588780795,10.0,0.9989525417444935,0.0023713683486669477
29,3.2609272588780787,10.0,0.9989513017823939,0.0032961050710614294
30,3.2609272588780787,10.0,0.9989501421274339,0.002627837719495817
31,3.2609272588780795,10.0,0.9989490635232287,0.002459886283026172
32,3.2609272588780787,10.0,0.9989480650531413,0.0
33,3.260927258878079,10.0,0.9989471461907513,0.001902685368084921
34,3.260927258878079,10.0,0.9989463024986233,0.003197003549667525
35,3.260927258878079,10.0,0.9989455383883731,0.0
36,3.2609272588780795,10.0,0.9989448548752594,0.0
37,3.260927258878079,10.0,0.9989442465031957,0.0
38,3.2609272588780787,10.0,0.9989437132793876,0.0
39,3.260927258878079,10.0,0.9989432552095749,0.0018176505948117744
40,3.260927258878079,10.0,0.9989428723290297,0.0
41,3.2609272588780795,10.0,0.9989425681365607,0.0
42,3.260927258878079,10.0,0.998942339106465,0.002195097551337612
43,3.2609272588780787,10.0,0.9989421854149384,0.00403700057451999
44,3.2609272588780787,10.0,0.9989421125760273,0.0025848695322477173
45,3.260927258878079,10.0,0.9989421216026743,0.0015648190959952793
46,3.260927258878079,10.0,0.9989422104263208,0.001614186549458706
47,3.260927258878079,10.0,0.9989423774725943,0.000918794106563707
48,3.260927258878079,10.0,0.9989426227236858,0.0019952216487409873
49,3.2609272588780795,10.0,0.998942945120532,0.0032784054487643667
50,3.260927258878079,10.0,0.9989433473097968,0.0035566704972615345
51,3.2609272588780795,10.0,0.9989438312661844,0.002897550574580433
52,3.2609272588780795,10.0,0.9989443967596158,0.0025235193377999344
53,3.260927258878079,10.0,0.9989450427764608,0.0036781994374640993
54,3.2609272588780795,10.0,0.9989457696687124,0.00129426864008246
55,3.260927258878079,10.0,0.9989465775130085,0.0006113163799618661
56,3.2609272588780787,10.0,0.9989474629003053,0.0011075140798854205
57,3.260927258878079,10.0,0.9989484244933895,0.0012019980703226794
58,3.2609272588780787,10.0,0.9989494632524263,0.00032027540453646506
59,3.260927258878079,10.0,0.9989505793600986,0.001936066463202631
60,3.260927258878079,10.0,0.9989517711783664,0.001558957371340504
61,3.2609272588780787,9.0,0.9989530415921535,0.00437272084388992
62,3.260927258878079,9.0,0.9989543919318226,0.004365368299515391
63,3.260927258878079,9.0,0.9989558256920313,0.005111659114151257
64,3.260927258878079,9.0,0.9989573438077832,0.003437497601260512
65,3.260927258878079,9.0,0.9989589448270051,0.0027885487147712284
66,3.260927258878079,9.0,0.9989606268598603,0.00018671160547418597
67,3.2609272588780795,9.0,0.9989623885461532,0.0012662985747046154
68,3.2609272588780795,9.0,0.9989642252375929,0.0
69,3.260927258878079,9.0,0.9989661391653811,0.0
70,3.260927258878079,9.0,0.9989681277060068,0.00024862375590614785
71,3.260927258878079,9.0,0.9989701907569726,0.0024647274438659764
72,3.2609272588780787,9.0,0.9989723291894014,0.0
73,3.260927258878079,9.0,0.9989745466499041,0.004056323427759673
74,3.2609272588780787,9.0,0.9989768401286319,0.003839830488496683
75,3.2609272588780787,9.0,0.9989792157506125,0.0020149131458533616
76,3.260927258878079,9.0,0.9989816720091645,0.0018985684810251164
77,3.2609272588780795,9.0,0.9989842064855934,0.0015036605399931851
78,3.260927258878079,9.0,0.9989868188341222,0.0
79,3.260927258878079,9.0,0.9989895083982065,0.0
80,3.260927258878079,9.0,0.9989922721051999,0.0015294844447119383
81,3.260927258878079,9.0,0.9989951098433782,0.003682564476311408
82,3.260927258878079,9.0,0.9989980258737149,0.0015426112958290255
83,3.2609272588780795,9.0,0.9990010218831165,0.0015097168906926825
84,3.260927258878079,9.0,0.9990040948383981,0.008486036748445506
85,3.260927258878079,9.0,0.9990072542645264,0.011272867484893725
86,3.2609272588780795,9.0,0.9990105126234373,0.011226084828588096
87,3.2609272588780787,9.0,0.9990138667718553,0.0108289922197189
88,3.2609272588780795,9.0,0.9990173153703524,0.008295819313367389
89,3.260927258878079,9.0,0.9990208515497715,0.007626029600198678
90,3.2609272588780795,9.0,0.999024476038509,0.007896449086968214
91,3.260927258878079,9.0,0.9990281896658725,0.006174271568976253
92,3.2609272588780795,9.0,0.9990319887224312,0.008254385929580079
93,3.260927258878079,9.0,0.9990358777117598,0.006872465949693936
94,3.2609272588780795,9.0,0.9990398531623049,0.006327530672333516
95,3.2609272588780787,9.0,0.9990439143255431,0.011926178575563474
96,3.26092725887808,9.0,0.9990480765757014,0.01068052661579068
97,3.260927258878079,9.0,0.9990523310848546,0.00745389695752076
98,3.260927258878079,9.0,0.9990566708181656,0.0029239653880923427
99,3.260927258878079,9.0,0.9990610916387865,0.0
100,3.260927258878079,9.0,0.9990655904746452,0.004701945520303574
101,3.260927258878079,9.0,0.9990701643053157,0.006444082837697629
102,3.260927258878079,9.0,0.99907482280507,0.0073812852665605935
103,3.2609272588780787,9.0,0.9990795685049227,0.009671384578503774
104,3.2609272588780795,9.0,0.9990844071541476,0.014942821359712543
105,3.2609272588780795,9.0,0.9990893575384532,0.012681769545296774
106,3.260927258878079,9.0,0.999094400057573,0.010698823350445691
107,3.2609272588780795,9.0,0.9990995327615123,0.010945979696051114
108,3.260927258878079,9.0,0.9991047596333863,0.011723520458149003
109,3.2609272588780795,9.0,0.9991100829806893,0.014369670386613366
110,3.2609272588780795,9.0,0.9991155123284878,0.010742249333751865
111,3.2609272588780795,9.0,0.9991210278862791,0.00832841123129351
112,3.260927258878079,9.0,0.9991266295442475,0.00875603773330215
113,3.2609272588780795,9.0,0.9991323204930291,0.007857362021797223
114,3.260927258878079,9.0,0.9991380981665806,0.008016161245470454
115,3.260927258878079,9.0,0.9991439632866863,0.008383435350910805
116,3.260927258878079,9.0,0.9991499165997414,0.00762752940614645
117,3.260927258878079,9.0,0.9991559560457876,0.005702527505327488
118,3.260927258878079,9.0,0.9991620781041599,0.00709274496576607
119,3.260927258878079,9.0,0.9991682851029979,0.008932676668047167
120,3.2609272588780795,9.0,0.9991745815440324,0.009505651775854121
121,3.2609272588780787,9.0,0.9991809682202629,0.007715830860229797
122,3.2609272588780795,9.0,0.999187439961025,0.005930035326141993
123,3.2609272588780795,9.0,0.9991939941661604,0.0026434503001374864
124,3.260927258878079,9.0,0.9992006269846054,0.0
125,3.2609272588780795,9.0,0.999207335083032,0.0003641411567865356
126,3.260927258878079,9.0,0.9992141133043702,0.0019802983715892517
127,3.2609272588780795,9.0,0.999220962483672,0.004822012446823616
128,3.260927258878079,9.0,0.9992278879719728,0.007036935924289284
129,3.2609272588780795,9.0,0.9992348967208919,0.009795953556477029
130,3.2609272588780795,9.0,0.9992419962832154,0.009542178867666704
131,3.260927258878079,9.0,0.9992491844170918,0.007626493073961153
132,3.2609272588780787,9.0,0.9992564563255347,0.0043179881839661175
133,3.260927258878079,9.0,0.9992638073685098,0.008156788667404487
134,3.2609272588780787,9.0,0.9992712431801953,0.007878685435495596
135,3.2609272588780795,9.0,0.9992787638897692,0.005244885719351795
136,3.260927258878079,9.0,0.999286364511602,0.0023002238239888608
137,3.2609272588780795,9.0,0.999294041787038,0.000591339592562378
138,3.260927258878079,9.0,0.9993017921549778,0.0014435328477549925
139,3.2609272588780787,9.0,0.9993096123333043,0.003074057793268399
140,3.2609272588780787,9.0,0.999317504607424,0.004321312334144327
141,3.260927258878079,9.0,0.9993254725777498,0.002671235287610465
142,3.2609272588780795,9.0,0.9993335160832525,0.0049831626949624255
143,3.2609272588780787,9.0,0.9993416352808465,0.006417575625917342
