t,peak,symmetry_error,chi,norm
0,0.9998427809,0.0001078743,0.0120000000,4.6114948930
1,1.0000922081,0.0000532652,0.0120235829,4.6113634408
2,1.0001336980,0.0001035902,0.0120000000,4.6117149602
3,1.0004659932,0.0004861542,0.0120000000,4.6113673171
4,1.0007296496,0.0002102890,0.0120000000,4.6114000815
5,1.0009146374,0.0000438441,0.0120000000,4.6119192566
6,1.0009390768,0.0000029628,0.0120000000,4.6119542438
7,1.0010575563,0.0002331034,0.0120000000,4.6113021198
8,1.0010796577,0.0001394701,0.0120000000,4.6117515726
9,1.0015138857,0.0000736652,0.0120000000,4.6120657862
10,1.0019175020,0.0001877796,0.0120000000,4.6120795370
11,1.0028399772,0.0002316711,0.0120000000,4.6123484045
12,1.0023692909,0.0001548061,0.0120000000,4.6120748962
13,1.0031579983,0.0003355372,0.0120000000,4.6123316682
14,1.0037300138,0.0003534948,0.0120000000,4.6117248705
15,1.0044086764,0.0005019938,0.0120000000,4.6115191393
16,1.0051029473,0.0005890180,0.0120000000,4.6120727939
17,1.0054945788,0.0006162434,0.0120000000,4.6126530074
18,1.0064823871,0.0008438896,0.0120000000,4.6132064885
19,1.0063870575,0.0006901749,0.0120000000,4.6129464748
20,1.0066723895,0.0006568161,0.0120000000,4.6122563050
21,1.0067299252,0.0005179999,0.0120000000,4.6121622095
22,1.0068389066,0.0002421451,0.0120000000,4.6119822462
23,1.0068300051,0.0000635534,0.0120000000,4.6117035214
24,1.0067112645,0.0001167063,0.0120000000,4.6119334807
25,1.0072876908,0.0002145195,0.0120000000,4.6121723807
26,1.0076576594,0.0001111998,0.0120000000,4.6118298488
27,1.0076300811,0.0003530983,0.0120000000,4.6123543842
28,1.0085717226,0.0003592751,0.0120000000,4.6120836980
29,1.0094329748,0.0003704033,0.0120000000,4.6120463334
30,1.0100302544,0.0001029210,0.0120000000,4.6126486208
31,1.0103438025,0.0001099174,0.0120000000,4.6126485045
32,1.0104695759,0.0000085167,0.0120000000,4.6125124912
33,1.0108518618,0.0002375155,0.0120000000,4.6124461054
34,1.0108871517,0.0003274661,0.0120000000,4.6123721036
35,1.0107504703,0.0004597836,0.0120000000,4.6124373247
36,1.0108364244,0.0004567820,0.0120000000,4.6121386712
37,1.0113075900,0.0003211528,0.0120000000,4.6118925047
38,1.0111481984,0.0002483359,0.0120000000,4.6118531479
39,1.0109454158,0.0001983716,0.0120000000,4.6118703765
40,1.0111585389,0.0002375318,0.0120000000,4.6119540221
41,1.0118037751,0.0004512604,0.0120000000,4.6125090003
42,1.0119711082,0.0003168460,0.0120000000,4.6128843311
43,1.0118788017,0.0000471402,0.0120000000,4.6128105182
44,1.0123019957,0.0000265013,0.0120000000,4.6127531561
45,1.0124118413,0.0001385578,0.0120000000,4.6127891460
46,1.0127385254,0.0000154179,0.0120000000,4.6120486667
47,1.0137450045,0.0003852420,0.0120000000,4.6120616479
48,1.0136266832,0.0001992260,0.0120000000,4.6124868681
49,1.0137192789,0.0000308610,0.0120000000,4.6121689286
50,1.0140990497,0.0001065144,0.0120000000,4.6116736513
51,1.0141196592,0.0001861353,0.0120000000,4.6116112143
52,1.0138942303,0.0000145547,0.0120000000,4.6117157963
53,1.0137729759,0.0001459129,0.0120000000,4.6121146751
54,1.0138189648,0.0000081740,0.0120000000,4.6127806836
55,1.0143866370,0.0001831132,0.0120000000,4.6130296486
56,1.0140221722,0.0000585335,0.0120000000,4.6127037519
57,1.0146559129,0.0000627872,0.0120000000,4.6125443091
58,1.0147402862,0.0001645376,0.0120000000,4.6123096107
59,1.0150079795,0.0004908875,0.0120000000,4.6123288237
60,1.0157040337,0.0006191889,0.0120000000,4.6129386165
61,1.0160117740,0.0005313077,0.0120000000,4.6133645969
62,1.0166686347,0.0007260469,0.0120000000,4.6137669641
63,1.0164132662,0.0004737696,0.0120000000,4.6135925599
64,1.0168483544,0.0008236354,0.0120000000,4.6136579885
65,1.0170531883,0.0009504445,0.0120000000,4.6145905838
66,1.0171952058,0.0008995975,0.0120000000,4.6142775303
67,1.0177865995,0.0008661178,0.0120000000,4.6146614705
68,1.0180195182,0.0010798520,0.0120000000,4.6145636935
69,1.0181892376,0.0011976345,0.0120000000,4.6150078509
70,1.0186910853,0.0013898290,0.0120000000,4.6149649777
71,1.0185341260,0.0013530614,0.0120000000,4.6155999121
72,1.0186064525,0.0014415355,0.0120000000,4.6152894449
73,1.0191163544,0.0013534812,0.0120000000,4.6152544221
74,1.0193804180,0.0012982324,0.0120000000,4.6157965534
75,1.0193228947,0.0014389687,0.0120000000,4.6154787974
76,1.0191020207,0.0015103264,0.0120000000,4.6155383366
77,1.0192414784,0.0018210348,0.0120000000,4.6160780279
78,1.0197008892,0.0018030945,0.0120000000,4.6162298970
79,1.0197139789,0.0018678270,0.0120000000,4.6161080816
80,1.0199437715,0.0017460922,0.0120000000,4.6166901617
81,1.0202569780,0.0017352224,0.0120000000,4.6164463029
82,1.0203338651,0.0015074129,0.0120000000,4.6161559317
83,1.0206668277,0.0019645970,0.0120000000,4.6159360116
84,1.0210233714,0.0020122320,0.0120000000,4.6161661424
85,1.0206731823,0.0019023553,0.0120000000,4.6163769650
86,1.0210076413,0.0016987163,0.0120000000,4.6165820618
87,1.0209080291,0.0019463289,0.0120000000,4.6171082675
88,1.0209787828,0.0020268000,0.0120000000,4.6173834879
89,1.0209945197,0.0021458981,0.0120000000,4.6176915376
90,1.0207836804,0.0020333283,0.0120000000,4.6178031791
91,1.0208197521,0.0022781712,0.0120000000,4.6174548353
92,1.0209092716,0.0023543455,0.0120000000,4.6165078833
93,1.0213400285,0.0024099288,0.0120000000,4.6167037577
94,1.0214195817,0.0025635878,0.0120000000,4.6170411172
95,1.0209415113,0.0025432275,0.0120000000,4.6165094685
96,1.0207601512,0.0026329978,0.0120000000,4.6165346771
97,1.0213736865,0.0027729069,0.0120000000,4.6170752432
98,1.0208114787,0.0028005058,0.0120000000,4.6169473322
99,1.0211686673,0.0025582649,0.0120000000,4.6172530407
100,1.0208589566,0.0025368875,0.0120000000,4.6173605211
101,1.0212646253,0.0027496162,0.0120000000,4.6176046901
102,1.0212627079,0.0027244393,0.0120000000,4.6178068453
103,1.0213630389,0.0026702357,0.0120000000,4.6176223255
104,1.0213905995,0.0025178936,0.0120000000,4.6180058053
105,1.0218403565,0.0025638139,0.0120000000,4.6182994768
106,1.0215876903,0.0025785215,0.0120000000,4.6180281103
