t,peak,symmetry_error,chi,norm
0,0.9998427809,0.0001078743,0.0120000000,4.6114948930
1,1.0000907938,0.0000532650,0.0120000000,4.6113588269
2,1.0001322824,0.0001035900,0.0120000000,4.6117103403
3,1.0004645756,0.0004861544,0.0120000000,4.6113626913
4,1.0007282300,0.0002102890,0.0120000000,4.6113954494
5,1.0009132156,0.0000438438,0.0120000000,4.6119146187
6,1.0009376523,0.0000029625,0.0120000000,4.6119495999
7,1.0010561296,0.0002331039,0.0120000000,4.6112974698
8,1.0010782297,0.0001394707,0.0120000000,4.6117469166
9,1.0015124549,0.0000736657,0.0120000000,4.6120611241
10,1.0019160691,0.0001877803,0.0120000000,4.6120748688
11,1.0028385422,0.0002316717,0.0120000000,4.6123437303
12,1.0023678539,0.0001548067,0.0120000000,4.6120702158
13,1.0031565591,0.0003355379,0.0120000000,4.6123269815
14,1.0037285725,0.0003534955,0.0120000000,4.6117201776
15,1.0044072330,0.0005019946,0.0120000000,4.6115144403
16,1.0051015018,0.0005890190,0.0120000000,4.6120680886
17,1.0054931312,0.0006162444,0.0120000000,4.6126482957
18,1.0064809373,0.0008438908,0.0120000000,4.6132017705
19,1.0063856056,0.0006901760,0.0120000000,4.6129417506
20,1.0066709355,0.0006568171,0.0120000000,4.6122515748
21,1.0067284690,0.0005180009,0.0120000000,4.6121574733
22,1.0068374482,0.0002421457,0.0120000000,4.6119775038
23,1.0068285445,0.0000635538,0.0120000000,4.6116987727
24,1.0067098019,0.0001167068,0.0120000000,4.6119287255
25,1.0072862260,0.0002145194,0.0120000000,4.6121676195
26,1.0076561924,0.0001111997,0.0120000000,4.6118250811
27,1.0076286119,0.0003530983,0.0120000000,4.6123496099
28,1.0085702512,0.0003592752,0.0120000000,4.6120789173
29,1.0094315012,0.0003704035,0.0120000000,4.6120415465
30,1.0100287787,0.0001029208,0.0120000000,4.6126438272
31,1.0103423245,0.0001099178,0.0120000000,4.6126437046
32,1.0104680957,0.0000085163,0.0120000000,4.6125076849
33,1.0108503794,0.0002375161,0.0120000000,4.6124412926
34,1.0108856671,0.0003274668,0.0120000000,4.6123672842
35,1.0107489835,0.0004597844,0.0120000000,4.6124324989
36,1.0108349354,0.0004567828,0.0120000000,4.6121338389
37,1.0113060988,0.0003211536,0.0120000000,4.6118876661
38,1.0111467049,0.0002483366,0.0120000000,4.6118483030
39,1.0109439200,0.0001983724,0.0120000000,4.6118655249
40,1.0111570409,0.0002375325,0.0120000000,4.6119491641
41,1.0118022749,0.0004512614,0.0120000000,4.6125041361
42,1.0119696057,0.0003168469,0.0120000000,4.6128794603
43,1.0118772969,0.0000471398,0.0120000000,4.6128056411
44,1.0123004887,0.0000265008,0.0120000000,4.6127482724
45,1.0124103320,0.0001385574,0.0120000000,4.6127842557
46,1.0127370139,0.0000154184,0.0120000000,4.6120437698
47,1.0137434907,0.0003852429,0.0120000000,4.6120567444
48,1.0136251671,0.0001992268,0.0120000000,4.6124819580
49,1.0137177606,0.0000308616,0.0120000000,4.6121640120
50,1.0140975290,0.0001065150,0.0120000000,4.6116687280
51,1.0141181363,0.0001861360,0.0120000000,4.6116062847
52,1.0138927050,0.0000145551,0.0120000000,4.6117108600
53,1.0137714483,0.0001459136,0.0120000000,4.6121097321
54,1.0138174350,0.0000081745,0.0120000000,4.6127757337
55,1.0143851049,0.0001831139,0.0120000000,4.6130246919
56,1.0140206377,0.0000585342,0.0120000000,4.6126987888
57,1.0146543761,0.0000627879,0.0120000000,4.6125393394
58,1.0147387471,0.0001645384,0.0120000000,4.6123046340
59,1.0150064380,0.0004908885,0.0120000000,4.6123238406
60,1.0157024899,0.0006191902,0.0120000000,4.6129336270
61,1.0160102278,0.0005313088,0.0120000000,4.6133596009
62,1.0166670862,0.0007260483,0.0120000000,4.6137619611
63,1.0164117154,0.0004737707,0.0120000000,4.6135875501
64,1.0168468012,0.0008236368,0.0120000000,4.6136529717
65,1.0170516327,0.0009504461,0.0120000000,4.6145855602
66,1.0171936479,0.0008995990,0.0120000000,4.6142724999
67,1.0177850393,0.0008661193,0.0120000000,4.6146564332
68,1.0180179555,0.0010798538,0.0120000000,4.6145586495
69,1.0181876725,0.0011976364,0.0120000000,4.6150028002
70,1.0186895179,0.0013898311,0.0120000000,4.6149599205
71,1.0185325561,0.0013530636,0.0120000000,4.6155948482
72,1.0186048803,0.0014415377,0.0120000000,4.6152843736
73,1.0191147797,0.0013534833,0.0120000000,4.6152493439
74,1.0193788410,0.0012982345,0.0120000000,4.6157914683
75,1.0193213152,0.0014389710,0.0120000000,4.6154737053
76,1.0191004389,0.0015103288,0.0120000000,4.6155332376
77,1.0192398941,0.0018210376,0.0120000000,4.6160729221
78,1.0196993025,0.0018030971,0.0120000000,4.6162247841
79,1.0197123898,0.0018678297,0.0120000000,4.6161029617
80,1.0199421799,0.0017460948,0.0120000000,4.6166850351
81,1.0202553839,0.0017352251,0.0120000000,4.6164411693
82,1.0203322686,0.0015074152,0.0120000000,4.6161507908
83,1.0206652288,0.0019645998,0.0120000000,4.6159308637
84,1.0210217700,0.0020122350,0.0120000000,4.6161609877
85,1.0206715784,0.0019023581,0.0120000000,4.6163718031
86,1.0210060350,0.0016987190,0.0120000000,4.6165768931
87,1.0209064202,0.0019463319,0.0120000000,4.6171030922
88,1.0209771715,0.0020268030,0.0120000000,4.6173783059
89,1.0209929059,0.0021459013,0.0120000000,4.6176863486
90,1.0207820642,0.0020333314,0.0120000000,4.6177979832
91,1.0208181334,0.0022781746,0.0120000000,4.6174496323
92,1.0209076504,0.0023543491,0.0120000000,4.6165026733
93,1.0213384048,0.0024099324,0.0120000000,4.6166985406
94,1.0214179555,0.0025635915,0.0120000000,4.6170358932
95,1.0209398825,0.0025432310,0.0120000000,4.6165042375
96,1.0207585200,0.0026330014,0.0120000000,4.6165294391
97,1.0213720527,0.0027729106,0.0120000000,4.6170699980
98,1.0208098425,0.0028005096,0.0120000000,4.6169420801
99,1.0211670285,0.0025582684,0.0120000000,4.6172477815
100,1.0208573153,0.0025368910,0.0120000000,4.6173552548
101,1.0212629815,0.0027496200,0.0120000000,4.6175994165
102,1.0212610615,0.0027244430,0.0120000000,4.6178015645
103,1.0213613900,0.0026702393,0.0120000000,4.6176170374
104,1.0213889480,0.0025178970,0.0120000000,4.6180005099
105,1.0218387025,0.0025638171,0.0120000000,4.6182941743
106,1.0215860338,0.0025785247,0.0120000000,4.6180228009
107,1.0213443625,0.0025613861,0.0120000000,4.6174210204
108,1.0214160832,0.0025418362,0.0120000000,4.6171157543
109,1.0216857863,0.0025518324,0.0120000000,4.6180192582
110,1.0215289077,0.0026241327,0.0120000000,4.6188011328
111,1.0221669449,0.0025723776,0.0120000000,4.6189133565
112,1.0228304327,0.0027642945,0.0120000000,4.6192983668
113,1.0231893303,0.0029121515,0.0120000000,4.6190962051
114,1.0237020570,0.0029343580,0.0120000000,4.6194980559
115,1.0238274979,0.0028817166,0.0120000000,4.6198111797
116,1.0240816593,0.0028362729,0.0120000000,4.6195911868
117,1.0237919043,0.0026428701,0.0120000000,4.6197429047
118,1.0239406993,0.0027547873,0.0120000000,4.6205249195
119,1.0240756094,0.0029456630,0.0120000000,4.6210729493
120,1.0241494493,0.0030462458,0.0120000000,4.6210161517
121,1.0239519609,0.0030393553,0.0120000000,4.6211918662
122,1.0242488561,0.0032615799,0.0120000000,4.6206629536
123,1.0241897689,0.0032180588,0.0120000000,4.6206602714
124,1.0250607730,0.0035110301,0.0120000000,4.6215975977
125,1.0254414674,0.0036305797,0.0120000000,4.6222937760
126,1.0257476608,0.0037585936,0.0120000000,4.6223179697
127,1.0252883585,0.0035858194,0.0120000000,4.6219530815
128,1.0253272226,0.0033555273,0.0120000000,4.6220079664
129,1.0251103342,0.0032609838,0.0120000000,4.6221495217
130,1.0255035603,0.0032622617,0.0120000000,4.6224662300
131,1.0262181579,0.0033360325,0.0120000000,4.6227591490
