t,peak,symmetry_error,chi,norm
0,0.9998789912,0.0001078712,0.0126035051,4.6116129803
1,1.0000890241,0.0000532575,0.0113658967,4.6113530002
2,1.0003149207,0.0001035715,0.0150740287,4.6123060843
3,1.0006777186,0.0004860806,0.0125035206,4.6120578188
4,1.0007870960,0.0002101192,0.0094287870,4.6115878663
5,1.0010765524,0.0000437270,0.0137356563,4.6124472382
6,1.0014775991,0.0000029390,0.0182592002,4.6137097649
7,1.0018708330,0.0002329737,0.0165459886,4.6139520805
8,1.0016907010,0.0001392874,0.0086220709,4.6137416819
9,1.0017591515,0.0000735398,0.0059259769,4.6128660549
10,1.0019826738,0.0001876917,0.0090082826,4.6122937948
11,1.0029172196,0.0002315808,0.0121983647,4.6126018583
12,1.0017711627,0.0001547175,0.0008398523,4.6101382950
13,1.0024956761,0.0003354905,0.0109498000,4.6101866273
14,1.0027052350,0.0003533420,0.0060196275,4.6084046635
15,1.0031698252,0.0005018727,0.0084851167,4.6075063455
16,1.0037040831,0.0005889325,0.0093875569,4.6075431920
17,1.0040016027,0.0006161491,0.0104817592,4.6078200762
18,1.0051072531,0.0008440862,0.0139758266,4.6087540774
19,1.0053148134,0.0006905410,0.0170040642,4.6094696281
20,1.0055609790,0.0006571150,0.0113830336,4.6086539466
21,1.0060170470,0.0005185295,0.0185590247,4.6098419689
22,1.0059299154,0.0002423881,0.0088070656,4.6090320392
23,1.0060227304,0.0000636945,0.0136872483,4.6090805272
24,1.0061677301,0.0001168497,0.0163366569,4.6101585487
25,1.0067709143,0.0002144984,0.0124512590,4.6104839021
26,1.0069215909,0.0001110756,0.0084312036,4.6094372713
27,1.0066219133,0.0003530492,0.0075757182,4.6090887612
28,1.0074276224,0.0003592095,0.0098029160,4.6083817598
29,1.0083520489,0.0003703943,0.0130569366,4.6085472811
30,1.0086496295,0.0001024356,0.0071538327,4.6081918114
31,1.0088993611,0.0001106139,0.0109959572,4.6079882429
32,1.0089759560,0.0000078565,0.0112357200,4.6076957585
33,1.0095160823,0.0002383405,0.0145960588,4.6081335389
34,1.0096130327,0.0003283404,0.0130303638,4.6082564391
35,1.0095798189,0.0004607945,0.0137057890,4.6086520850
36,1.0094702898,0.0004577118,0.0088616227,4.6077300083
37,1.0099010667,0.0003219947,0.0113778546,4.6073555789
38,1.0099721856,0.0002491311,0.0157630823,4.6080513612
39,1.0102107745,0.0001991549,0.0191684695,4.6094762615
40,1.0100489431,0.0002384498,0.0059564854,4.6083638128
41,1.0111418212,0.0004522085,0.0192668341,4.6103476490
42,1.0117088406,0.0003177711,0.0184602020,4.6119964244
43,1.0118490746,0.0000462603,0.0157502947,4.6126634563
44,1.0123510206,0.0000256750,0.0132693870,4.6128572342
45,1.0123670237,0.0001376705,0.0104931705,4.6125948925
46,1.0131292220,0.0000158759,0.0189984993,4.6132406443
47,1.0147232174,0.0003851988,0.0214092399,4.6151211619
48,1.0151482747,0.0001992315,0.0206478474,4.6172683483
49,1.0156390922,0.0000308985,0.0183124981,4.6182130646
50,1.0161292394,0.0001064654,0.0137154260,4.6180678450
51,1.0157874443,0.0001861534,0.0062000706,4.6168579283
52,1.0155628847,0.0000148410,0.0119786202,4.6169653327
53,1.0156418744,0.0001458627,0.0151510797,4.6179989773
54,1.0153016215,0.0000084593,0.0058158650,4.6174401087
55,1.0159903578,0.0001830846,0.0138965859,4.6180737045
