Paper_ID,Title,Series,Primary_Claims,Existing_Test_Paths,Existing_Data_Paths,Status,Notes
SYMATICS_ONEPAGER,Symatics One Pager,Vol I,,,,UNSORTED,Uploaded PDF
SYMATICS_FULL,Symatics Full Technical Document,Vol I,,,,UNSORTED,Uploaded PDF
PHOTON_ALGEBRA,Photon Algebra (SRK-12),Vol I,,,,UNSORTED,Uploaded PDF
PHOTON_BINARY,Photon/Binary Bridge,Vol I/II,,,,UNSORTED,Uploaded PDF
CODEX_CORE,Codex Core Final Technical Document,Vol II,,,,UNSORTED,Uploaded PDF
CODEXCORE_VCPU,CodexCore VirtualCPU Release v1.2,Vol II,,,,UNSORTED,Uploaded PDF
GLYPNET,GlyphNet,Vol II,,,,UNSORTED,Uploaded PDF
GLYPH_OS_FULL,Glyph OS Full Technical Document,Vol II,,,,UNSORTED,Uploaded PDF
GLYPH_OS_BENCH,Glyph OS Benchmark,Vol II,,,,UNSORTED,Uploaded PDF
SQM_SQI_RELEASE,SQM+SQI Website Release v1.1,Vol II/III,,,,UNSORTED,Uploaded PDF
TESSARIS_FULL,Tessaris Full Technical Document,Vol I/III,,,,UNSORTED,Uploaded PDF
