t,S,R,gain,norm
0,0.9914859055905577,0.008514094409442232,1.0,10.00000000000005
1,0.9553770401411993,0.04462295985880075,1.0,10.342362720493593
2,0.9034710923123574,0.0965289076876425,1.0,10.631441548077458
3,0.851073254906378,0.14892674509362208,1.0,10.926879815348506
4,0.8054282181347933,0.1945717818652067,1.0,11.234841159214676
5,0.7583060442310365,0.24169395576896352,1.0,11.485150407075594
6,0.7180707960863777,0.28192920391362236,1.0,11.72731991454261
7,0.6778473888226667,0.3221526111773333,1.0,11.955579325300818
8,0.6358114609567278,0.36418853904327214,1.0,12.146222054399425
9,0.5963231323038429,0.40367686769615707,1.0,12.401734774282367
10,0.5553190757804103,0.44468092421958977,1.0,12.558794061975126
11,0.5221237758841544,0.4778762241158457,1.0,12.755009284786812
12,0.4940891127627707,0.5059108872372293,1.0,12.897817731425954
13,0.46577371834660364,0.5342262816533964,1.0,13.092448949225123
14,0.4372964193457006,0.5627035806542994,1.0,13.273561176105645
15,0.4152495350297435,0.5847504649702565,1.0,13.486147667334713
16,0.3938006461787361,0.6061993538212639,1.0,13.659457024774264
17,0.37014682673396526,0.6298531732660347,1.0,13.87947777814248
18,0.3473086586138895,0.6526913413861105,1.0,14.085412914548884
19,0.3306032463211579,0.6693967536788421,1.0,14.268926966861244
20,0.3145207149424679,0.6854792850575321,1.0,14.484400011930733
21,0.29804346795197423,0.7019565320480258,1.0,14.664138218193207
22,0.2846850187562274,0.7153149812437726,1.0,14.824732930233324
23,0.2721005393784147,0.7278994606215853,1.0,15.027681329864675
24,0.26027664588353927,0.7397233541164607,1.0,15.224120719788019
25,0.24747127899295018,0.7525287210070498,1.0,15.413922335467692
26,0.23566271285305085,0.7643372871469492,1.0,15.598493664036267
27,0.22523142826603493,0.7747685717339651,1.0,15.758222551659415
28,0.2147418909785188,0.7852581090214812,1.0,15.98962979525568
29,0.2052564661639129,0.7947435338360871,1.0,16.146913263572785
30,0.19630791569883888,0.8036920843011611,1.0,16.334931987258962
31,0.1877769120673891,0.8122230879326109,1.0,16.50909459023425
32,0.18260480311899907,0.8173951968810009,1.0,16.708503631598184
33,0.1767436575430913,0.8232563424569087,1.0,16.872027923078278
34,0.17194111037319804,0.828058889626802,1.0,17.029264116239407
35,0.1661263905453505,0.8338736094546495,1.0,17.199425676719486
36,0.158604206301869,0.841395793698131,1.0,17.382883268421633
37,0.1518932965828257,0.8481067034171743,1.0,17.489581657115572
38,0.14830592355440608,0.8516940764455939,1.0,17.634529831698156
39,0.14270471788200012,0.8572952821179999,1.0,17.828702392916007
40,0.1401005245803537,0.8598994754196463,1.0,17.983259229113706
41,0.13568249291207257,0.8643175070879274,1.0,18.185673842720753
42,0.13161692658696877,0.8683830734130312,1.0,18.369105636139075
43,0.128655992534623,0.871344007465377,1.0,18.509885276491193
44,0.1256471432049473,0.8743528567950527,1.0,18.615191762244702
45,0.12100415384873509,0.8789958461512649,1.0,18.71127036733201
46,0.11823014502534968,0.8817698549746503,1.0,18.85316436502634
47,0.11374212572661857,0.8862578742733814,1.0,19.04000222787204
48,0.11096715389168321,0.8890328461083168,1.0,19.203364090199948
49,0.10920029367852857,0.8907997063214714,1.0,19.356147890087907
50,0.10768687295027879,0.8923131270497212,1.0,19.538587241617197
51,0.10454678936061601,0.895453210639384,1.0,19.747276437026237
52,0.10263959611671347,0.8973604038832865,1.0,19.90304260611655
53,0.10119082388610989,0.8988091761138901,1.0,19.999999999998998
54,0.09951117720267555,0.9004888227973245,1.0,19.999999999999
55,0.0977737228001585,0.9022262771998415,1.0,19.999999999999
56,0.09627274270186581,0.9037272572981342,1.0,19.999999999999
57,0.09501813018945615,0.9049818698105438,1.0,19.999999999999005
58,0.09264847989663738,0.9073515201033626,1.0,19.999999999998998
59,0.09301641976759256,0.9069835802324074,1.0,19.999999999999
60,0.09127912289515283,0.9087208771048472,1.0,19.999999999999
61,0.08939723421423273,0.9106027657857673,1.0,19.999999999999
62,0.08761202121081668,0.9123879787891833,1.0,19.999999999999
63,0.08688740036658893,0.9131125996334111,1.0,19.999999999999005
64,0.0866186858629866,0.9133813141370134,1.0,19.999999999999
65,0.08589342899980124,0.9141065710001988,1.0,19.999999999998998
66,0.08607663523351095,0.913923364766489,1.0,19.999999999999
67,0.08482059452181656,0.9151794054781834,1.0,19.999999999999
68,0.08454240503627419,0.9154575949637258,1.0,19.999999999999005
69,0.08513216348663477,0.9148678365133652,1.0,19.999999999999
70,0.08412669534278405,0.915873304657216,1.0,19.999999999999
71,0.08412383319189087,0.9158761668081091,1.0,19.999999999999
72,0.08419338567984125,0.9158066143201588,1.0,19.999999999998998
73,0.08332823171059778,0.9166717682894022,1.0,19.999999999999005
74,0.08309598078546299,0.916904019214537,1.0,19.999999999999005
75,0.08427251393363233,0.9157274860663677,1.0,19.999999999998998
76,0.08464822641829595,0.915351773581704,1.0,19.999999999999005
77,0.0845881885987837,0.9154118114012163,1.0,19.999999999999005
78,0.08364085148013645,0.9163591485198636,1.0,19.999999999999
79,0.08325782996163467,0.9167421700383653,1.0,19.999999999999005
80,0.0827940593035148,0.9172059406964852,1.0,19.999999999999
81,0.08324655052481644,0.9167534494751836,1.0,19.999999999999005
82,0.08420630045399369,0.9157936995460063,1.0,19.999999999999
83,0.08441433131871023,0.9155856686812898,1.0,19.999999999999
84,0.0843157860520698,0.9156842139479302,1.0,19.999999999998998
85,0.08469932515354694,0.915300674846453,1.0,19.999999999999005
86,0.08464204039497503,0.915357959605025,1.0,19.999999999999
87,0.08491918884851624,0.9150808111514838,1.0,19.999999999999
88,0.08559981819654394,0.9144001818034561,1.0,19.999999999999
89,0.0842329510229124,0.9157670489770876,1.0,19.999999999998998
90,0.08536540853958607,0.9146345914604139,1.0,19.999999999999
91,0.08478304710555562,0.9152169528944444,1.0,19.999999999998998
92,0.08470215428017935,0.9152978457198206,1.0,19.999999999999
93,0.08454984202486493,0.9154501579751351,1.0,19.999999999999
94,0.08477864407830782,0.9152213559216922,1.0,19.999999999999
95,0.08473056567160386,0.9152694343283961,1.0,19.999999999999
96,0.08458157970313951,0.9154184202968605,1.0,19.999999999999
97,0.08403548564228047,0.9159645143577195,1.0,19.999999999999005
98,0.08375841930461914,0.9162415806953809,1.0,19.999999999998998
99,0.08366274992060341,0.9163372500793966,1.0,19.999999999999
100,0.08313809484408341,0.9168619051559166,1.0,19.999999999999005
101,0.0825327721750655,0.9174672278249345,1.0,19.999999999998998
102,0.08137256797558567,0.9186274320244143,1.0,19.999999999999
103,0.08073142046790094,0.9192685795320991,1.0,19.999999999998998
104,0.0818683712012277,0.9181316287987723,1.0,19.999999999999
105,0.08121271272457864,0.9187872872754214,1.0,19.999999999998998
106,0.08133482302125483,0.9186651769787452,1.0,19.999999999999005
107,0.08266131028762302,0.917338689712377,1.0,19.999999999999
108,0.08171279543765342,0.9182872045623466,1.0,19.999999999999
109,0.08248971412795969,0.9175102858720403,1.0,19.999999999999005
110,0.08267917039363426,0.9173208296063657,1.0,19.999999999999
111,0.08274685554366823,0.9172531444563318,1.0,19.999999999999
112,0.08326643162556369,0.9167335683744363,1.0,19.999999999999
113,0.08323319609600921,0.9167668039039908,1.0,19.999999999999
114,0.08371094427252712,0.9162890557274729,1.0,19.999999999999
115,0.08377298032009295,0.916227019679907,1.0,19.999999999999
116,0.08377800858560469,0.9162219914143953,1.0,19.999999999999005
117,0.08441834741988397,0.915581652580116,1.0,19.999999999999
118,0.08409993957084394,0.9159000604291561,1.0,19.999999999999
119,0.08354836887978523,0.9164516311202148,1.0,19.999999999999
120,0.0839227635307398,0.9160772364692602,1.0,19.999999999999005
121,0.08408275956769462,0.9159172404323054,1.0,19.999999999999
122,0.08386173639781691,0.9161382636021831,1.0,19.999999999999
123,0.08424150318221901,0.915758496817781,1.0,19.999999999999
124,0.08259657914000829,0.9174034208599917,1.0,19.999999999999
125,0.08084337592058388,0.9191566240794161,1.0,19.999999999999
126,0.08112940008246361,0.9188705999175364,1.0,19.999999999999
127,0.08127120170698543,0.9187287982930146,1.0,19.999999999999
128,0.08057411666671765,0.9194258833332823,1.0,19.999999999999
129,0.08197589217076362,0.9180241078292364,1.0,19.999999999999005
130,0.08260420557934367,0.9173957944206563,1.0,19.999999999999
131,0.08257245585333284,0.9174275441466672,1.0,19.999999999999
132,0.08266257908350116,0.9173374209164988,1.0,19.999999999999
133,0.08329092307866348,0.9167090769213365,1.0,19.999999999999005
134,0.08232335374752586,0.9176766462524741,1.0,19.999999999999005
135,0.08275465331420728,0.9172453466857927,1.0,19.999999999999
136,0.0829718611477459,0.9170281388522541,1.0,19.999999999999005
137,0.08321529346183354,0.9167847065381665,1.0,19.999999999999
138,0.08306291208734007,0.9169370879126599,1.0,19.999999999998998
139,0.0832622683992238,0.9167377316007762,1.0,19.999999999999005
140,0.08227451703282285,0.9177254829671772,1.0,19.999999999999
141,0.08208915648558335,0.9179108435144167,1.0,19.999999999999
142,0.08117885781596201,0.918821142184038,1.0,19.999999999999
143,0.08177548874392837,0.9182245112560716,1.0,19.999999999999
144,0.0814093645476095,0.9185906354523905,1.0,19.999999999999
145,0.08166101327808373,0.9183389867219163,1.0,19.999999999999005
146,0.0820373184858687,0.9179626815141313,1.0,19.999999999998998
147,0.08145054724910816,0.9185494527508918,1.0,19.999999999999
148,0.08148830835985876,0.9185116916401412,1.0,19.999999999999
