t,S,R,gain,norm
0,0.9914859055905577,0.008514094409442232,0.0,10.00000000000005
1,0.9916564982412129,0.008343501758787104,0.0,10.342362720493593
2,0.9922489828014812,0.00775101719851882,0.0,10.633480969109995
3,0.9931304341796243,0.006869565820375633,0.0,10.927252604140264
4,0.9904628220865128,0.009537177913487158,0.0,11.236205515504011
5,0.9912963597019471,0.008703640298052944,0.0,11.474783981632681
6,0.987745330163728,0.01225466983627194,0.0,11.713619020537255
7,0.9860331672470932,0.013966832752906732,0.0,11.914093922097111
8,0.9893933079808604,0.010606692019139564,0.0,12.073958704503035
9,0.9911453538714674,0.008854646128532635,0.0,12.291154513428483
10,0.9929139650956144,0.007086034904385641,0.0,12.37201518559216
11,0.9948085772944304,0.0051914227055696125,0.0,12.555343989987058
12,0.9888797479501593,0.011120252049840657,0.0,12.656747025019211
13,0.9885322369083256,0.011467763091674415,0.0,12.821977555249257
14,0.9866969942653416,0.013303005734658412,0.0,12.949559025037068
15,0.9879628643685283,0.012037135631471713,0.0,13.098858751134163
16,0.9845877659675343,0.015412234032465775,0.0,13.220942170907746
17,0.984399701918855,0.01560029808114502,0.0,13.310784293856683
18,0.9857188934994402,0.014281106500559823,0.0,13.384986088013969
19,0.9872760246070612,0.012723975392938822,0.0,13.508672767598823
20,0.987302673497356,0.012697326502644003,0.0,13.635738872610105
21,0.9903897233026356,0.00961027669736433,0.0,13.741739092531594
22,0.9881870552412593,0.011812944758740703,0.0,13.826068336502223
23,0.9857411645343663,0.014258835465633696,0.0,13.951784831892132
24,0.9855337776546313,0.014466222345368672,0.0,14.056669129583211
25,0.9848282683053006,0.0151717316946994,0.0,14.123655831370694
26,0.9856571667821616,0.014342833217838356,0.0,14.183696472794113
27,0.9853335343917661,0.014666465608233923,0.0,14.243019701092647
28,0.9854652546523357,0.014534745347664298,0.0,14.337023173614169
29,0.9854301564786319,0.014569843521368088,0.0,14.398106979196093
30,0.9821206995959082,0.017879300404091806,0.0,14.446186551295622
31,0.9799563148337341,0.020043685166265895,0.0,14.496583420603828
32,0.9786391373856239,0.021360862614376044,0.0,14.603838007862896
33,0.9787732720141717,0.021226727985828236,0.0,14.680394336664763
34,0.9827655307523605,0.017234469247639505,0.0,14.759632560291093
35,0.985122369699579,0.01487763030042099,0.0,14.802771577413123
36,0.9832113909509487,0.016788609049051374,0.0,14.849832881922241
37,0.9864370588876678,0.013562941112332227,0.0,14.816657602822088
38,0.9861530807907302,0.013846919209269878,0.0,14.877719134182923
39,0.9832921425622303,0.01670785743776966,0.0,14.897311602799814
40,0.9825394280681612,0.01746057193183878,0.0,14.957054762885198
41,0.9830814345077056,0.016918565492294424,0.0,15.020669383815578
42,0.983779911772715,0.016220088227285014,0.0,15.07998588763712
43,0.9832481614145506,0.016751838585449336,0.0,15.135143455621268
44,0.9859606022208817,0.014039397779118362,0.0,15.161130252592901
45,0.9859173691126786,0.014082630887321403,0.0,15.172691010370178
46,0.987292452244281,0.012707547755718977,0.0,15.215151631374914
47,0.9875741446860922,0.012425855313907788,0.0,15.260815734388439
48,0.9879365124060833,0.012063487593916742,0.0,15.306994247304985
49,0.9897975912190976,0.010202408780902414,0.0,15.369766232179597
50,0.9942121467824265,0.005787853217573462,0.0,15.444512733315456
51,0.9898110335699708,0.010188966430029193,0.0,15.493406025486465
52,0.9874058587095933,0.012594141290406743,0.0,15.5380818844017
53,0.9867473552279786,0.013252644772021406,0.0,15.589936186131503
54,0.9886366307935993,0.0113633692064007,0.0,15.645576470268605
55,0.9901814057282694,0.009818594271730617,0.0,15.69086986714398
56,0.9908988316147629,0.009101168385237075,0.0,15.716576349292016
57,0.992184535077609,0.007815464922391055,0.0,15.757199282072392
58,0.9923701311219172,0.007629868878082859,0.0,15.796994169536672
59,0.991768419916788,0.008231580083212002,0.0,15.8639254889308
60,0.9936023293221069,0.00639767067789315,0.0,15.896841528409054
61,0.9939671039209503,0.006032896079049666,0.0,15.948231835103961
