t,S,R,gain,norm
0,0.9914859055905577,0.008514094409442232,0.5022921422850863,10.00000000000005
1,0.9821412146610622,0.017858785338937762,0.5769066580956427,10.373451082853405
2,0.9528335836175821,0.047166416382417954,0.763429313557061,10.658656622082807
3,0.9126740677697698,0.08732593223023018,0.9875914803685082,10.956290773261419
4,0.8656653721962287,0.13433462780377123,1.0,11.233412339933718
5,0.8153162660859454,0.18468373391405452,1.0,11.461009641030682
6,0.7719673528421532,0.22803264715784677,0.9427448890878747,11.692891385352
7,0.7316282689357864,0.26837173106421364,0.8502646909770296,11.939052199975544
8,0.6928838395163062,0.3071161604836939,0.8148084567878756,12.102042444117561
9,0.656806207958912,0.343193792041088,0.9924484571026841,12.29811184000104
10,0.6139442054711708,0.38605579452882915,0.8117498945252467,12.53111821982207
11,0.5846561835355197,0.41534381646448026,1.0,12.727716357425784
12,0.5530978672395666,0.4469021327604335,1.0,12.875688291249864
13,0.520085225519658,0.47991477448034203,0.8514070669191202,13.082746274026135
14,0.49383909133922554,0.5061609086607745,0.63543002521626,13.250483292653094
15,0.48112017709124677,0.5188798229087532,0.7476240405494089,13.488959860480241
16,0.46373501570773257,0.5362649842922674,1.0,13.658892528431899
17,0.43397614430728737,0.5660238556927126,1.0,13.848203414194181
18,0.4031676577012092,0.5968323422987908,0.8589322752777068,14.005593768981612
19,0.386248018524717,0.613751981475283,1.0,14.184329909495386
20,0.36661290140779634,0.6333870985922037,1.0,14.352819973373995
21,0.34460876559483034,0.6553912344051697,1.0,14.492896282598828
22,0.32724391392109364,0.6727560860789064,0.9970520897834608,14.66540578055658
23,0.3094859041915756,0.6905140958084244,1.0,14.842562565380405
24,0.2939551002305427,0.7060448997694573,1.0,15.0054534261221
25,0.27841737628052154,0.7215826237194785,0.7811653033673589,15.21316945244966
26,0.2694155246392934,0.7305844753607066,0.840596613476043,15.396616669258552
27,0.25911489608030214,0.7408851039196979,0.9255413838404107,15.559618850861824
28,0.24750889598661918,0.7524911040133808,1.0,15.790042329101388
29,0.23656053936195098,0.763439460638049,1.0,15.965797469453442
30,0.2243359122493448,0.7756640877506552,1.0,16.125111485163593
31,0.2134733887284812,0.7865266112715188,1.0,16.28729315429223
32,0.204563293006772,0.795436706993228,1.0,16.4394090283716
33,0.19630721121795236,0.8036927887820476,1.0,16.57932785448223
34,0.1905937640511164,0.8094062359488836,1.0,16.739780645165954
35,0.183709460209331,0.816290539790669,0.9714520994573912,16.90424129745966
36,0.1757584475904609,0.8242415524095391,1.0,17.10813629215747
37,0.16960590922902308,0.8303940907709769,1.0,17.262272550713238
38,0.1637033821685735,0.8362966178314265,1.0,17.403275303563365
39,0.15596330808191372,0.8440366919180863,1.0,17.578278315724827
40,0.15080984554397103,0.849190154456029,1.0,17.730730973894204
41,0.14360642753197395,0.856393572468026,1.0,17.927830915756655
42,0.13961640618759608,0.8603835938124039,1.0,18.095992346794436
43,0.13617103882850012,0.8638289611714999,0.8385781251229516,18.240348110102524
44,0.13568598255125408,0.8643140174487459,0.7180848660910972,18.381386907825437
45,0.13549348801240224,0.8645065119875978,0.7024172509377418,18.50237162285512
46,0.13580868618527964,0.8641913138147204,0.8719327044842107,18.670773199655642
47,0.13265805518868157,0.8673419448113184,0.708556702311441,18.857495132815295
48,0.13112771152872604,0.868872288471274,0.5935510861311256,19.00527373488424
49,0.1315331907255829,0.8684668092744171,0.4694672578361115,19.150828718228258
50,0.13328237821109634,0.8667176217889037,0.5292846643836604,19.300290286274382
51,0.13291832394514314,0.8670816760548569,0.5224531367074343,19.523725637346228
52,0.1339662368026523,0.8660337631973477,0.5754016845379305,19.65587288537954
53,0.13413420057820769,0.8658657994217923,0.2933670144475344,19.732145329988434
54,0.1391367984650297,0.8608632015349703,0.7621636777181754,19.872173737463847
55,0.1352729636042609,0.8647270363957391,0.8398082546028157,19.968526841714493
56,0.13103922487479203,0.868960775125208,0.49574920575425285,19.999999999998998
57,0.13220684469511668,0.8677931553048833,0.3232981642321332,19.999999999999005
58,0.13341506610098186,0.8665849338990181,0.36173033485382333,19.999999999999
59,0.13621787058963275,0.8637821294103672,0.46848355401443625,19.999999999999
60,0.1358391709674429,0.8641608290325571,0.495800134590836,19.999999999999
61,0.13542682059270583,0.8645731794072942,0.7090270056938741,19.999999999998998
62,0.13156973514741488,0.8684302648525851,0.9347411409911714,19.999999999998998
63,0.1254862839528349,0.8745137160471651,1.0,19.999999999999
64,0.12026896684307309,0.8797310331569269,0.9589546138017698,19.999999999999
65,0.11588410767624413,0.8841158923237559,0.6943199824562254,19.999999999999
66,0.11532768529163895,0.884672314708361,0.9776627398669197,19.999999999999
67,0.11216642161287138,0.8878335783871286,0.9339923405663992,19.999999999999005
68,0.10955134068065742,0.8904486593193426,0.989090306958312,19.999999999999
69,0.106291300892002,0.893708699107998,1.0,19.999999999999
70,0.102219880706372,0.897780119293628,1.0,19.999999999999
71,0.10108727399286854,0.8989127260071315,1.0,19.999999999999
72,0.0985295787400794,0.9014704212599206,0.8884426997790219,19.999999999999
73,0.09663938946959794,0.9033606105304021,0.9766260293207398,19.999999999999
74,0.09557900288928234,0.9044209971107177,0.9364672787878175,19.999999999999005
75,0.09556819889761159,0.9044318011023884,0.8291633962406466,19.999999999999
76,0.09598379247705735,0.9040162075229426,0.7906439295679393,19.999999999999
77,0.09574773996328267,0.9042522600367173,0.4985717440188751,19.999999999999
78,0.098329255850795,0.901670744149205,0.48806103221128816,19.999999999999
79,0.10128885565191537,0.8987111443480846,0.6530167204434936,19.999999999999005
80,0.10153421590985479,0.8984657840901452,0.6358310981495963,19.999999999999
81,0.10210438986463144,0.8978956101353686,0.7144062981854292,19.999999999999
82,0.1036666274606669,0.8963333725393331,0.3792696438179628,19.999999999999
83,0.10690675894168777,0.8930932410583122,0.5628626255784772,19.999999999999
