t,v0,T,coherence
0.0,6.0,2.7951538651908934e-17,0.31664058287989166
0.006,6.0,2.706404740148142e-17,0.27619161118320856
0.012,6.0,2.3726358936592276e-17,0.22847933555697458
0.018000000000000002,6.0,2.883718001205456e-17,0.16085358640204472
0.024,6.0,5.981108815825161e-17,0.12357089358333108
0.03,6.0,1.8165660410796383e-16,0.030675448190537743
0.036000000000000004,6.0,2.2807437001132457e-16,0.07980149944335853
0.042,6.0,3.8814908573019773e-16,0.06521437000122647
0.048,6.0,5.798974947744757e-16,0.046530247585840095
0.054,6.0,9.025403282651539e-16,0.07483212587691787
0.06,6.0,1.4924112494614586e-15,0.10940668542159669
0.066,6.0,2.4062458854717222e-15,0.13089114511784763
0.07200000000000001,6.0,3.676940200392235e-15,0.14373722676720066
0.078,6.0,5.396368205467959e-15,0.15249432938407018
0.084,6.0,7.685896255074228e-15,0.16063073568539618
0.09,6.0,1.0585552786988386e-14,0.16770334956742938
0.096,6.0,1.4003633289519031e-14,0.17420045353550867
0.10200000000000001,6.0,1.798845660952888e-14,0.1760244790306518
0.108,6.0,2.366559028968662e-14,0.16183467002968902
0.114,6.0,3.862458089627905e-14,0.13092852004103947
0.12,6.0,9.996945124652669e-14,0.09183620501065254
0.126,6.0,3.671618256471963e-13,0.05937572823879208
0.132,6.0,1.4416611922610238e-12,0.03679162143115212
0.138,6.0,5.366367385787584e-12,0.02403386347237747
0.14400000000000002,6.0,1.843468107520941e-11,0.017696589525193568
0.15,6.0,5.8082204329676556e-11,0.014612976036806976
0.156,6.0,1.6854941179942548e-10,0.013549462167556883
0.162,6.0,4.5258286423659387e-10,0.013163643726657239
0.168,6.0,1.1302928133323671e-09,0.013011217958995396
0.17400000000000002,6.0,2.6380583765133933e-09,0.012712462028691121
0.18,6.0,5.786986814605135e-09,0.012018304157655488
0.186,6.0,1.2006600156026842e-08,0.010912578307142339
0.192,6.0,2.3751213821636402e-08,0.010074285992628888
0.198,6.0,4.524951439722803e-08,0.01180930415533109
0.20400000000000001,6.0,8.399343462941878e-08,0.018142643832275252
0.21,6.0,1.5377660159774456e-07,0.02842255461828946
0.216,6.0,2.8070426396501106e-07,0.04167156429684252
0.222,6.0,5.145531752641266e-07,0.05708822938496569
0.228,6.0,9.493249070335683e-07,0.0738800130357269
0.234,6.0,1.7590002244325412e-06,0.09130463781428243
0.24,6.0,3.257250007597381e-06,0.10863697077407236
0.246,6.0,5.992782465640639e-06,0.12384593465719827
0.252,6.0,1.089418396574535e-05,0.13680997993664606
0.258,6.0,1.947826902804208e-05,0.14779636411207783
0.264,6.0,3.413293319280241e-05,0.15662964362501589
0.27,6.0,5.847859918681868e-05,0.16341085555512308
0.276,6.0,9.780214152454299e-05,0.16815931865035424
0.28200000000000003,6.0,0.00015954442823438054,0.17129342895264937
0.28800000000000003,6.0,0.00025381064423300184,0.1731658076945132
0.294,6.0,0.0003938619831503933,0.17396776573928918
